Medal,Name,Sport,Event
Gold,Deborah Compagnoni,Alpine skiing,Women 's giant slalom
Gold,Maurilio De Zolt Marco Albarello Giorgio Vanzetta Silvio Fauner,Cross-country skiing,Men 's 4 × 10 km relay
Gold,Manuela Di Centa,Cross-country skiing,Women 's 15 km ( freestyle )
Gold,Manuela Di Centa,Cross-country skiing,Women 's 30 km ( classical )
Gold,Kurt Brugger Wilfried Huber,Luge,Men 's doubles
Gold,Gerda Weissensteiner,Luge,Women 's individual
Gold,Maurizio Carnino Orazio Fagone Hugo Herrnhof Mirko Vuillermin,Short track speed skating,Men 's 5000 m relay
Silver,Alberto Tomba,Alpine skiing,Men 's slalom
Silver,Manuela Di Centa,Cross-country skiing,Women 's 5 km ( classical )
Silver,Manuela Di Centa,Cross-country skiing,Women 's 10 km pursuit ( freestyle )
Silver,Hansjörg Raffl Norbert Huber,Luge,Men 's doubles
Silver,Mirko Vuillermin,Short track speed skating,Men 's 500 m
Bronze,Isolde Kostner,Alpine skiing,Women 's downhill
Bronze,Isolde Kostner,Alpine skiing,Women 's super-G
Bronze,Günther Huber Stefano Ticci,Bobsleigh,Two-man
Bronze,Marco Albarello,Cross-country skiing,Men 's 10 km ( classical )
Bronze,Silvio Fauner,Cross-country skiing,Men 's 15 km pursuit ( freestyle )
Bronze,Stefania Belmondo,Cross-country skiing,Women 's 10 km pursuit ( freestyle )
Bronze,Bice Vanzetta Manuela Di Centa Gabriella Paruzzi Stefania Belmondo,Cross-country skiing,Women 's 4 × 5 km relay
Bronze,Armin Zöggeler,Luge,Men 's individual
