Year,Title,Language
2012,Katari Veera Surasundarangi,Kannada
2011,Ilaignan,Tamil
2009,Arumugam,Tamil
2008,Mesthri,Telugu
2007,Parattai Engira Azhagu Sundaram,Tamil
2006,Rocky - The Rebel,Hindi
2006,Astram,Telugu
2005,Jyeshta,Kannada
2004,Gajendra,Tamil
2004,Bhadradri Ramudu,Telugu
2003,Kadamba,Kannada
2003,Raghavendra,Telugu
2002,Idi Maa Ashokgadi Love Story,Telugu
2002,Baba,Tamil
2001,Daddy,Telugu
2001,Aalavandhan,Tamil
2000,Rayalaseema Ramanna Chowdary,Telugu
1999,Sangamam,Tamil
1999,Oruvan,Tamil
1998,Auto Driver,Telugu
