Title,Publisher,Genre ( s ),# of charting months,Peak position
NBA Jam : Tournament Edition,Acclaim Entertainment,Sports ( basketball ),6,# 1
World Series Baseball '95,Sega,Sports ( baseball ),6,# 2
Road Rash 3,Electronic Arts,Racing,6,# 4
NBA Action '95,Sega,Sports ( basketball ),4,# 3
Judge Dredd,Acclaim Entertainment,Run and gun,3,# 1
The Adventures of Batman & Robin,Sega,Run and gun,3,# 1
Mortal Kombat 3,Williams Entertainment,Fighting,3,# 1
Triple Play Baseball '96,EA Sports,Sports ( baseball ),3,# 2
Justice League Task Force,Acclaim Entertainment,Fighting,3,# 2
Batman Forever,Acclaim Entertainment,Beat 'em up,3,# 1
