Player,Position,Nationality,Team,League
Grant Clay,G,Canada,University of Manitoba,CIAU
Wayne Doll,G,Canada,Long Island Ducks,EHL
Len Frig,D,Canada,Dallas Black Hawks,CHL
Ken Gustafson,C,Canada,Spokane Jets,WIHL
George Hill,C,Canada,Calgary Stampeders,PrHL
Les Jackson,LW,Canada,New Westminster Bruins,WCHL
Marshall Johnston,RW,Canada,California Golden Seals,NHL
Barrie Meissner,LW,Canada,Omaha Knights,CHL
Wayne Morusyk,D,Canada,Oklahoma City Blazers,CHL
Tom Pinder,F,Canada,Saskatoon Blades,WCHL
Al Rycroft,C,Canada,Fort Wayne Komets,IHL
Alois Schloder,RW,West Germany,EV Landshut,Germany
Jim Shaw,G,Canada,Portland Buckaroos,WHL
Ed Sidebottom,D,Canada,Charlotte Checkers,EHL
Ron Willy,C,Canada,Saskatoon Quakers,PrHL
Richard Wilson,D,Canada,University of North Dakota,NCAA
Jerry Wright,C,Canada,Roanoke Valley Rebels,EHL
