#,Name,Term
1,William Daum Euler,"May 20 , 1961 - July 1961"
2,Ross Macdonald,"December 6 , 1964 - June 1972"
3,Paul Martin Sr,"June 1972 - April 30 , 1977"
4,John Black Aird,"July 4 , 1977 - July 3 , 1985"
5,Maureen Forrester,"May 25 , 1986 - May 29 , 1990"
6,Willard Estey,"July 12 , 1990 - October 30 , 1995"
7,John Cleghorn,"October 27 , 1996 - June 10 , 2003"
8,Bob Rae,"September 1 , 2003 - March 30 , 2008"
9,John A. Pollock,"March 31 , 2008 - Oct 27 , 2011"
10,Michael Lee-Chin,"Oct 28 , 2011 - Sept 13 , 2016"
11,Eileen Mercier,"Sept 14 , 2016 - Current"
