Station,Time to Downtown,Connections,Opened,Average weekday passengers ( 03/2018 )
Palmetto,31 min,Metrobus : 87,"May 30 , 2003","1,500"
Okeechobee,26 min,"Metrobus : 73 , 267","May 19 , 1985","1,156"
Hialeah,23 min,"Metrobus : 29 , 37 , 54 , 112 , 135","May 19 , 1985","1,408"
Tri-Rail,21 min,"Tri-Rail Metrobus : 42 , 112","June 5 , 1989","1,284"
Northside,19 min,"Metrobus : 12 , 21 , 32 , 79 , 112","May 18 , 1985","1,496"
Dr. Martin Luther King Jr. Plaza,16 min,"Metrobus : 27 , 62 , 297","May 19 , 1985","1,216"
Brownsville,14 min,"Metrobus : 27 , 46 , 54 , 254","May 19 , 1985",899
Miami International Airport,16 min,"Tri-Rail MIA Mover Metrobus : 7 , 37 , 42 , 57 , 110 , 150 , 238 , 297 , 338","July 28 , 2012","1,776"
Earlington Heights,11 min,"Metrobus : 17 , 22 , 95","December 17 , 1984","1,686"
Allapattah,9 min,"Metrobus : 12 , 21 , 36 , 110 , 246","December 17 , 1984","1,930"
Santa Clara,7 min,"Metrobus : 12 , 21 , 32 , 113 , 246","December 17 , 1984",908
Civic Center,6 min,"Metrobus : 12 , 21 , 32 , 95 , 113 , 246","December 17 , 1984","5,679"
Culmer,4 min,"Metrobus : 77 , 211 , 277","December 17 , 1984","1,305"
Historic Overtown/Lyric Theatre,2 min,"Metrobus : 2 , 7 , 95 , 211 , 246","May 20 , 1984","2,004"
Government Center,-,"Metromover : Downtown , Omni , Brickell , Loops Metrobus : 2 , 3 , 7 , 9 , 11 , 21 , 51 , 77 , 93 , 95 , 119 , 120 , 207 , 208 , 246 , 277 , 500 Broward County Transit : 95X Virgin Trains USA ( at Virgin MiamiCentral )","May 20 , 1984","10,818"
Brickell,2 min,"Metromover : Brickell Loop Metrobus : 8 , 24 , 102 , 207 , 208 , 500 Broward County Transit : 595X","May 20 , 1984","6,319"
Vizcaya,5 min,"Metrobus : 12 , 17 , 24 , 500","May 20 , 1984","1,265"
Coconut Grove,7 min,"Metrobus : 22 , 27 , 500","May 20 , 1984","1,748"
Douglas Road,9 min,"Metrobus : 37 , 40 , 42 , 136 , 500 Miami Trolley : Coral Gables","May 20 , 1984","3,623"
University,12 min,"Metrobus : 56 , 500","May 20 , 1984","2,041"
