Squadron Designation,Nickname,Aircraft,Operational and Administrative Commander,Squadron Lineage,Notes
VP-1 ( Fifth use ),Screaming Eagles,P-8A,"Commander , Patrol and Reconnaissance Wing TEN",VB-128 : 15 Feb 1943-1 Oct 1944 VPB-128 : 1 Oct 1944-15 May 1946 VP-128 : 15 May 1946-15 Nov 1946 VP-ML-1 : 15 Nov 1946-1 Sep 1948 VP-1 ( 5th ) : 1 Sep 1948-present,Homeport NAS Whidbey Island
VP-4 ( Second use ),Skinny Dragons,P-8A,"Commander , Patrol and Reconnaissance Wing TEN",VB-144 : 1 Jul 1943-1 Oct 1944 VPB-144 : 1 Oct 1944-15 May 1946 VP-144 : 15 May 1946-15 Nov 1946 VP-ML-4 : 15 Nov 1946-1 Sep 1948 VP-4 ( 2nd ) : 1 Sep 1948-present,Homeport NAS Whidbey Island
VP-5 ( Second use ),Mad Foxes,P-8A,"Commander , Patrol and Reconnaissance Wing ELEVEN",VP-17F : 2 Jan 1937-1 Oct 1937 VP-17 ( 1st ) : 1 Oct 1937-1 Jul 1939 VP-42 ( 1st ) : 1 Jul 1939-15 Feb 1943 VB-135 : 15 Feb 1943-1 Oct 1944 VPB-135 : 1 Oct 1944-15 May 1946 VP-135 : 15 May 1946-15 Nov 1946 VP-ML-5 : 15 Nov 1946-1 Sep 1948 VP-5 ( 2nd ) : 1 Sep 1948-present,Homeport NAS Jacksonville
VP-8 ( Second use ),Tigers,P-8A,"Commander , Patrol and Reconnaissance Wing ELEVEN",VP-201 : 1 Sep 1942-1 Oct 1944 VPB-201 : 1 Oct 1944-15 May 1946 VP-201 : 15 May 1946-15 Nov 1946 VP-MS-1 : 15 Nov 1946-5 Jun 1947 VP-ML-8 : 5 Jun 1947-1 Sep 1948 VP-8 ( 2nd ) : 1 Sep 1948-present,Homeport NAS Jacksonville
VP-9 ( Second use ),Golden Eagles,P-8A,"Commander , Patrol and Reconnaissance Wing TEN",VP-9 ( 2nd ) : 15 Mar 1951-present,Homeport NAS Whidbey Island
VP-10 ( Third use ),Red Lancers,P-8A,"Commander , Patrol and Reconnaissance Wing ELEVEN",VP-10 ( 3rd ) : 19 Mar 1951-present,Homeport NAS Jacksonville
VP-16 ( Third use ),War Eagles,P-8A,"Commander , Patrol and Reconnaissance Wing ELEVEN",VP-906 : May 1946-15 Nov 1946 VP-ML-56 : 15 Nov 1946-Feb 1950 VP-741 : Feb 1959-4 Feb 1953 : VP-16 ( 3rd ) : 4 Feb 1953-present,Homeport NAS Jacksonville USNR VP-741 activated on 1 May 1951 for the Korean War
VP-26 ( Third use ),Tridents,P-8A,"Commander , Patrol and Reconnaissance Wing ELEVEN",VB-114 : 26 Aug 1943-1 Oct 1944 VPB-114 : 1 Oct 1944-15 May 1946 VP-114 : 15 May 1946-15 Nov 1946 VP-HL-6 : 15 Nov 1946-1 Sep 1948 VP-26 ( 3rd ) : 1 Sep 1948-present,Homeport NAS Jacksonville
VP-30,Pro 's Nest,P-3C P-8A,"Commander , Patrol and Reconnaissance Group",VP-30 : 30 Jun 1960-present,Fleet Replacement Squadron based at NAS Jacksonville
VP-40 ( Second use ),Fighting Marlins,P-8A,"Commander , Patrol and Reconnaissance Wing TEN",VP-40 ( 2nd ) : 20 Jan 1951-present,Homeport NAS Whidbey Island
VP-45 ( Third use ),Pelicans,P-8A,"Commander , Patrol and Reconnaissance Wing ELEVEN",VP-205 ( 1st ) : 1 Nov 1942-1 Oct 1944 VPB-205 : 1 Oct 1944-15 May 1946 VP-205 ( 2nd ) : 15 May 1946-15 Nov 1946 VP-MS-5 : 15 Nov 1946-1 Sep 1948 VP-45 ( 3rd ) : 1 Sep 1948-present,Homeport NAS Jacksonville
VP-46,Grey Knights,P-8A,"Commander , Patrol and Reconnaissance Wing TEN",VP-5S : 1 Sep 1931-1 Apr 1933 VP-5F : 1 Apr 1933-1937 VP-5 ( 1st ) : 1937-1 Jul 1939 VP-33 ( 1st ) : 1 Jul 1939-1 Jul 1941 VP-32 ( 2nd ) : 1 Jul 1941-1 Oct 1944 VPB-32 : 1 Oct 1944-15 May 1946 VP-MS-6 : 15 Nov 1946-1 Sep 1948 VP-46 : 1 Sep 1948-present,Homeport NAS Whidbey Island Second oldest currently active aircraft squadron in the U. S. Navy
VP-47,Golden Swordsmen,P-8A,"Commander , Patrol and Reconnaissance Wing TEN",VP-27 ( 1st ) : 1 Jun 1944-1 Oct 1944 VPB-27 : 1 Oct 1944-15 May 1946 VP-27 ( 2nd ) : 15 May 1946-15 Nov 1946 VP-MS-7 : 15 Nov 1946-1 Sep 1948 VP-47 : 1 Sep 1948-present,Homeport NAS Whidbey Island
VP-62 ( Fourth use ),Broadarrows,P-3C,"Commander , Maritime Support Wing",VP-62 ( 4th ) : 1 Nov 1970-present,U S Navy Reserve Squadron Homeport NAS Jacksonville
VP-69,Totems,P-3C,"Commander , Maritime Support Wing",VP-69 : 1 Nov 1970-present,U S Navy Reserve Squadron Homeport NAS Whidbey Island
VPU-2,Wizards,P-3C,"Commander , Patrol and Reconnaissance Wing TEN",VPU-2 : 1 Jul 1982-present,Homeport MCAS Kaneohe Bay
VUP-11,,MQ-4C,"Commander , Patrol and Reconnaissance Wing TEN",,To be established in 2020 . Homeport NAS Whidbey Island
VUP-19,Big Red,MQ-4C,"Commander , Patrol and Reconnaissance Wing ELEVEN",VUP-19 : 1 Oct 2016 -present,Homeport NAS Jacksonville NAS Point Mugu ( detachment )
