Riding,Candidate 's Name,Notes,Gender,Residence
Brandon - Souris,Wes Penner,,M,Winnipeg
Charleswood - St. James - Assiniboia,Rob Clement,,M,Winnipeg
Churchill,Sydney Garrioch,Former Grand Chief of the Manitoba Keewatinowi Okimakanak,M,Cross Lake
Dauphin - Swan River - Marquette,Wendy Menzies,,F,Neepawa
Elmwood - Transcona,Ilona Niemczyk,,F,Winnipeg
Kildonan - St. Paul,Victor Andres,,M,Winnipeg
Portage - Lisgar,Martha Jo Willard,2008 Candidate in Brandon - Souris,F,Winnipeg
Provencher,Terry Hayward,"Retired Civil Servant , Agriculture Canada",M,Anola
Saint Boniface,Raymond Simard,Former Member of Parliament,M,Winnipeg
Selkirk - Interlake,Duncan Geisler,,M,Ashern
Winnipeg Centre,Allan Wise,Staff member : Community Education Development Association ( CEDA ),M,Winnipeg
Winnipeg North,Kevin Lamoureux,incumbent MP,M,Winnipeg
Winnipeg South,Terry Duguid,"Winnipeg City councilor , candidate for Kildonan-St. Paul in 2004 and 2006",M,Winnipeg
Winnipeg South Centre,Anita Neville,"incumbent MP ,",F,Winnipeg
