Rel,OST Title,Game Title,Label,Notes
2015,The Order : 1886 Vinyl Soundtrack,The Order : 1886,Music On Vinyl,Limited to 500 copies of 180g gold-marbled vinyl
2015,Banjo-Kazooie Vinyl Soundtrack,Banjo-Kazooie,iam8bit,Limited edition of 3000 copies on 180g brown and red vinyl
2015,Battletoads Vinyl Soundtrack,Battletoads,iam8bit,Limited edition of 3000 copies on 180g green swirl vinyl
2015,The Last of Us Original Soundtrack,The Last of Us,Mondo,4xLP in heavy duty slip case containing the score from The Last of Us and The Last of Us : Left Behind
2015,Hotline Miami 2 : Wrong Number - Collector 's Edition,Hotline Miami 2 : Wrong Number,iam8bit,3xLP set only available as part of collector 's edition
2015,Mother,Mother,Ship to Shore PhonoCo,"2xLP soundtrack to Famicom RPG ( titled Earthbound Beginnings in the U.S. ) . Available in 3 editions - Classic Black limited to 1000 copies , Translucent Red limited to 500 copies , and White limited to 500 copies . Housed in a gatefold jacket with a traditional Japanese OBI strip"
2015,Journey Vinyl Soundtrack,Journey,iam8bit,2xLP picture disc set
2015,Mega Man : Best of Mega Man 1 - 10 Picture Disc LP,Mega Man,SPACELAB9,"Limited edition , created exclusively for Hot Topic . Reissued in January 2016 in 3 different deluxe Mega Pack editions on splatter vinyl"
2015,Super Hexagon EP,Super Hexagon,iam8bit,"Limited edition of 1600 , 400 each of four different colors - red , blue , purple and black - on hexagon shaped vinyl"
2015,BIT.TRIP 's Greatest Chips,BIT.TRIP,iam8bit,Limited edition of 1500 on a picture disc rainbow vinyl . Also includes downloads for all seven titles in BIT.TRIP series
2015,Persona 4 : Dancing All Night Original Soundtrack -REMIXES-,Persona 4 : Dancing All Night,Mastard Records,Released by Atlus at Comiket 88
2015,Everybody 's Gone to the Rapture Original Soundtrack,Everybody 's Gone to the Rapture,Music on Vinyl,2xLP on black vinyl . A limited edition of 500 white vinyl copies were released at launch
2015,Perfect Dark Vinyl Soundtrack,Perfect Dark,iam8bit,Limited edition of 3000 copies on 180g red and blue splattered vinyl
2015,Streets of Rage Original Soundtrack,Streets of Rage,Data Discs,DATA 001 entry in their video game soundtrack series . Released on black and translucent red vinyl
2015,Shenmue Original Soundtrack,Shenmue,Data Discs,DATA 002 entry in their video game soundtrack series . Released on black and translucent blue vinyl
2015,Shinobi III Original Soundtrack,Shinobi III : Return of the Ninja Master,Data Discs,DATA 003 entry in their video game soundtrack series . Released on black and oxblood vinyl
2015,Super Hang-On Original Soundtrack,Super Hang-On,Data Discs,"DATA 004 entry in their video game soundtrack series . Released as a 12 45 on black and clear vinyl with blue , white and red tri-colour splatter"
2015,Fallout 3 Original Game Soundtrack,Fallout 3,Spacelab9,Hot Topic exclusive picture disc featuring 14 tracks from the score
2015,Fallout 3 : Special Edition Vinyl Soundtrack,Fallout 3,Spacelab9,"Bethesda Store exclusive 3xLP and one 7 box set , limited to 2500 copies . Contains the full 80+ minute score by Inon Zur . Printed on blue vinyl"
2015,Minecraft Volume Alpha,Minecraft,Ghostly International,"Available in two pressings - a 1000-copy , limited edition transparent green with lenticular-printed jacket and standard black"
