Year,Title,Role
2007,Seven 's Eleven : Sweet Toys,Frankie
2007,National Treasure : Book of Secrets,Charles Gates
2008,Rock Slyde,Young Rock Slyde
2008,Crank : High Voltage,Young Chev Chelios
2008,Cop Dog,Robby North
2008,Opposite Day,Sammuel Sammy Benson
2010,Jack and the Beanstalk,Prince Charming
2010,Monster Mutt,Zack Taylor
2010,A Turtle 's Tale : Sammy 's Adventures,Hatchling Sammy
2010,You Again,Ben Olsen
2012,The Lost Medallion : The Adventures of Billy Stone,Billy Stone
2018,Paved New World,Funch
