Name,Park,Type,Opened
Bahama Blaster,Six Flags Fiesta Texas,Water slide complex,June 7
Bonzai Pipeline,"Six Flags Hurricane Harbor , California",Water slide complex,May 26
Brain Drain,Elitch Gardens,Larson International 22 Meter Loop,May 3
Colossal Curl,Water Country USA,ProSlide WorldALLEY,May 23
Cornpoppy,Europa Park,Zierer family drop tower,April 5
Cookie 's Monster Land,Sesame Place,Themed area,June 2
Demon,La Ronde,Roll Over,May 17
Despicable Me Minion Mayhem,Universal Studios Hollywood,Simulator ride,April 12
Dinoland,Mirabilandia,Themed area,June 20
Dorsal Fin Drop,Carolina Harbor,ProSlide Behemoth Bowl,June 21
Extreme Supernova,Great Escape,Frisbee,May 22
Falcon 's Fury,Busch Gardens Tampa,Drop tower,September 2
French Quarter Flyers,Six Flags America,Larson Flying Scooters,April 5
Harry Potter and the Forbidden Journey,Universal Studios Japan,Dark ride,July 15
Hogwarts Express,Universal Orlando Resort,Funicular attraction,July 8
Hurricane Harbor,Six Flags Over Georgia,Water Park,May 29
Kapau Plummet,White Water Branson,Water Slide,May 17
Lake Erie Eagles,Cedar Point,Larson Flying Scooters,May 10
Mayflower,Holiday World & Splashin ' Safari,Chance Rides pirate ship,May 3
Mul-Mul,Europa Park,Zamperla Jump Around,April 5
