Team,Location,Stadium,Capacity,Last season
Besa,Kavajë,Besa Stadium,"8,000",9th
Dinamo Tirana,Tirana,Qemal Stafa Stadium,"19,700",6th
Elbasani,Elbasan,Ruzhdi Bizhuta Stadium,"15,000",8th
Flamurtari,Vlorë,Flamurtari Stadium,"15,000",7th
Lushnja,Lushnjë,Abdurrahman Roza Haxhiu Stadium,"12,000",10th
Partizani,Tirana,Qemal Stafa Stadium,"19,700",3rd
Shkumbini,Peqin,Shkumbini Stadium,"6,000",5th
Teuta,Durrës,Niko Dovana Stadium,"12,040",4th
Tirana,Tirana,Qemal Stafa Stadium,"19,700",Champions
Vllaznia,Shkodër,Loro Boriçi Stadium,"15,000",2nd
