#,Name,Nationality,Period
1,Božo Grkinić,Yugoslavia,1946-1948
2,Svetislav Šaper,Yugoslavia,1948-1949
3,Janoš Gerdov,Yugoslavia,1949-1950
4,Borislav Stanković *,Yugoslavia,1950-1953
5,Miodrag Stefanović,Yugoslavia,1953-1954
6,Mirko Marjanović,Yugoslavia,1954-1958
7,Aleksandar Nikolić,Yugoslavia,1958-1961
8,Božidar Munćan,Yugoslavia,1961-1963
9,Milenko Novaković,Yugoslavia,1963-1964
10,Borislav Ćurčić,Yugoslavia,1964-1967
11,Branislav Rajačić,Yugoslavia,1967-1969
12,Radovan Radović,Yugoslavia,1969-1971
13,Ranko Žeravica *,Yugoslavia,1971-1974
14,Borislav Ćorković,Yugoslavia,1974-1976
-,Ranko Žeravica *,Yugoslavia,1976-1978
15,Dušan Ivković *,Yugoslavia,1978-1980
-,Borislav Ćorković,Yugoslavia,1980-1982
16,Borislav Džaković,Yugoslavia,1982-1984
17,Zoran Slavnić,Yugoslavia,1984-1985
18,Vladislav Lučić,Yugoslavia,1985-1986
