Caliber ( mm ),Weapon name,Country of origin,Period
81 mm,M4 Mortar Motor Carriage,United States,World War II
81 mm,M21 Mortar Motor Carriage,United States,World War II
16 x 81 mm,Reihenwerfer,Nazi Germany,World War II
81 mm,Carrier Mortar Tracked ( CMT ),India,Modern
107 mm,M106 mortar carrier,United States,Cold War
120 mm,Vz.85 ShM-120 PRAM-S,Czechoslovakia,Cold War
120 mm,120 KRH-TEKA ( Sisu NA-122 ),Finland,Modern
120 mm,Patria NEMO,Finland,Modern
120 mm,PLL-05,People 's Republic of China,Modern
120 mm,RAK,Poland,Modern
120 mm,GMM-120,Georgia,Modern
120 mm,M1064 mortar carrier,United States,Modern
120 mm,M1129 Mortar Carrier,United States,Modern
120 mm,2S9 Nona,Soviet Union,Cold War
120 mm,2S31 Vena,Russia,Modern
120 mm,2S34 Hosta,Russia,Modern
120 mm x 2,AMOS,Finland / Sweden,Modern
240 mm,2S4 Tyulpan,Soviet Union,Cold War
