Year,Award,Category,Work,Result
1992,Saturn Award,Best Actress,Terminator 2 : Judgment Day,Won
1998,Blockbuster Entertainment Awards,Favorite Actress - Action/Adventure,Dante 's Peak,Won
1995,CableACE Awards,Actress in a Movie or Miniseries,A Mother 's Prayer,Won
2001,DVD Exclusive Awards,Video Premiere Award Best Supporting Actress,Skeletons in the Closet,Won
1988,Golden Globe Awards,Best Performance by an Actress in a TV-Series - Drama,Beauty and the Beast,Nominated
1989,Golden Globe Awards,Best Performance by an Actress in a TV-Series - Drama,Beauty and the Beast,Nominated
1996,Golden Globe Awards,Best Performance by an Actress in a Mini-Series or Motion Picture Made for TV,A Mother 's Prayer,Nominated
1992,MTV Movie Awards,MTV Movie Award Best Female Performance,Terminator 2 : Judgment Day,Won
1992,MTV Movie Awards,MTV Movie Award Most Desirable Female,Terminator 2 : Judgment Day,Won
2000,Satellite Awards,Golden Satellite Award Best Performance by an Actress in a Miniseries or a Motion Picture,The Color of Courage,Won
2019,Prêmio Carburador de Prata,Best Ederly,Terminator : Dark Fate,Won
