Call letters,Channel,Network ( s ),City and state,Meaning or notes
KMAU,12 PSIP 12,12.1 ABC 12.2 MeTV,"Wailuku , Hawaii",Wailuku is on the island of Mau i ; rebroadcasts KITV Honolulu
KMAX-TV,21 PSIP 31,The CW,"Sacramento , California",
KMBC-TV,29 PSIP 9,9.1 ABC 29.2 MeTV,"Kansas City , Missouri",
KMBH,38 PSIP 60,PBS,"Harlingen , Texas",
KMCB,22 PSIP 23,NBC,"Coos Bay , Oregon","Satellite of KMTR Eugene , Oregon"
KMCC,32 PSIP 34,Ion Plus,"Laughlin , Nevada","M eridian C ommunications C ompany , original licensee"
KMCI-TV,25 PSIP 38,38.1 Independent 41.2 Bounce TV,"Lawrence , Kansas","Station serves Kansas City , Missouri market ; MCI is IATA airport code for Kansas City International Airport"
KMCT-TV,22 PSIP 39,religious,"West Monroe , Louisiana",M onroe C hristian T elevision
KMCY,14 PSIP 14,ABC,"Minot , North Dakota","M agic C it y ; semisatellite of KBMY Bismarck , North Dakota"
KMDE,25 PSIP 25,PBS,"Devils Lake , North Dakota",M innewaukan- D evils Lake E ducational
KMEB,10 PSIP 10,PBS,"Wailuku , Hawaii",M aui E ducational B roadcasting
KMEG,32 PSIP 14,CBS,"Sioux City , Iowa",
KMEX-DT,34 PSIP 34,Univision,"Los Angeles , California",Mex ico
KMGH-TV,7 PSIP 7,7.1 ABC 27.2 KZCO-LP,"Denver , Colorado",M c G raw- H ill ( former owner )
KMID,26 PSIP/cable 2,ABC,"Midland , Texas",Mid land
KMIR-TV,26 PSIP 36,NBC,"Palm Springs , California","Named for El Mir ador Hotel , owned by station 's original owners ; brands as cable channel 6"
KMIZ,17 PSIP 17,17.1 ABC 17.3 MyNetworkTV,"Columbia , Missouri",Miz zou ( Nickname for Missouri )
KMLM-DT,15 PSIP 42,God 's Learning Channel,"Odessa , Texas",
KMLU,11 PSIP 11,8.2 ABC,"Columbia , Louisiana","Brands by its cable/satellite ( and former over-the-air ) channel number , 11"
KMNE-TV,7 PSIP 7,PBS,"Bassett , Nebraska",
