,Country,Airport name,IATA / ICAO Code,City served,Passengers
1,Panama,Tocumen International Airport,PTY/MPTO,Panamá City,"14,741,937"
2,Costa Rica,Juan Santamaría International Airport,SJO/MROC,San José,"6,456,750"
3,El Salvador,Comalapa International Airport,SAL/MSLP,San Salvador,"2,984,764"
4,Guatemala,La Aurora International Airport,GUA/MGGT,Guatemala City,"2,579,123"
5,Nicaragua,Augusto C. Sandino International Airport,MGA/MNMG,Managua,"1,533,034"
6,Costa Rica,Daniel Oduber International Airport,LIR/MRLB,Liberia,"1,182,123"
7,Belize,Philip S. W. Goldson International Airport,BZE/MZBZ,Belize City,"867,976"
8,Honduras,Ramón Villeda Morales International Airport,SAP/MHLM,San Pedro Sula,"867,747"
9,Honduras,Toncontín International Airport,TGU/MHTG,Tegucigalpa,"697,925"
10,Honduras,Juan Manuel Gálvez International Airport,RTB/MHRO,Roatán,"371,657"
11,Panama,Enrique Malek International Airport,DAV/MPDA,David,"323,465"
12,Panama,Albrook International Airport,PAC/MPMG,Panamá City,"230,000"
13,Honduras,Golosón International Airport,LCE/MHLC,La Ceiba,"165,802"
14,Panama,Panamá Pacífico International Airport,BLB/MPHO,Panamá City,"131,930"
15,Guatemala,Mundo Maya International Airport,FRS/MGTK,Flores / Tikal,"113,444"
16,Panama,Scarlett Martínez International Airport,RIH/MPSM,Río Hato,"63,728"
