Name,Family,Language,Region,Country,Population ( million )
Aka,"Nilo-Saharan , Pygmy",Aka,Central/Northern,"Western Central African Republic , Northwest Congo",
Baka,Pygmy,Baka,Central/Northern,Western Equatoria in South Sudan,0.25
Banda,"Niger-Congo , Ubangian",Banda language,Chad Basin,Central African Republic,1.5
Chewa,"Niger-Congo , Bantu",Chichewa,Central/Southern,"Botswana , Malawi , Mozambique , Namibia , Tanzania , Zambia , Zimbabwe",9
Chokwe,"Niger-Congo , Bantu",Chokwe,Central,"Angola , Congo ( Kinshasa ) , Zambia",1.1
Efé,"Nilo-Saharan , Pygmy",Efe,Central/Northern,Ituri Rainforest of Congo,
Gbaya,"Niger-Congo , Ubangian",Gbaya language,Chad Basin,Central African Republic,1.5
Kongo,"Niger-Congo , Bantu",Kongo,Central,"Democratic Republic of the Congo , Angola , Republic of the Congo",10
Kanuri,"Nilo-Saharan , Western Saharan",Kanuri,Chad Basin,"Nigeria , Niger , Cameroon , Chad",10
Lingala,"Niger-Congo , Bantu",Lingala,Central,"Democratic Republic of the Congo , Republic of the Congo , Angola , Central African Republic",
Luba,"Niger-Congo , Bantu","Luba-Kasai , Luba-Katanga",Central,Democratic Republic of the Congo,13
Kotoko,"Afro-Asiatic , Chadic",Lagwan,Chad Basin,"Cameroon , Chad",< 1
Mbunda,"Niger-Congo , Bantu","Mbúùnda , Chimbúùnda , Mpuono",Central,"Angola , Zambia",0.5
Mbundu,"Niger-Congo , Bantu",Kimbundu,Central,Angola,2.4
Moghamo,"Niger-Congo , Southern Bantoid",Moghamo,Central/West,Cameroon,0.018
Mongo,"Niger-Congo , Bantu",Mongo,Central,Democratic Republic of the Congo,12
Ngamambo,"Niger-Congo , Southern Bantoid",Ngamambo,Central/West,Cameroon,0.011
Ovimbundu,"Niger-Congo , Bantu",Umbundu,Central,Angola,4.6
Sara,"Nilo-Saharan , Central Sudanic",Sara,Chad Basin,"Chad , Cameroon , Central African Republic",3.5
Sua,"Nilo-Saharan , Pygmy",Sua,Central/Northern,Ituri Rainforest of Congo,
