#,Name,Area ( km ),Location
-,Saaremaa and Muhu,"2,871",West Estonian archipelago
1,Saaremaa,"2,673",West Estonian archipelago
-,Hiiumaa and Kassari,"1,008",West Estonian archipelago
2,Hiiumaa,989,West Estonian archipelago
3,Muhu,198,West Estonian archipelago
4,Vormsi,93,West Estonian archipelago
-,Pakri Islands,24.7,Gulf of Finland
5,Kassari,19.3,West Estonian archipelago
6,Naissaar,18.6,Gulf of Finland
7,Kihnu,16.4,Gulf of Riga
8,Väike-Pakri,12.9,Gulf of Finland
9,Suur-Pakri,11.6,Gulf of Finland
10,Ruhnu,11.4,Gulf of Riga
11,Abruka,8.8,West Estonian archipelago
12,Vilsandi,8.8,West Estonian archipelago
13,Piirissaar,7.8,Lake Peipus
14,Prangli,6.4,Gulf of Finland
15,Osmussaar,4.6,Gulf of Finland
16,Vohilaid,3.9,West Estonian archipelago
17,Aegna,2.9,Gulf of Finland
