Number,Album,Artist,1st-week sales,1st-week position
1,Pink Friday : Roman Reloaded,Nicki Minaj,"253,000",1
2,"Good Kid , M.A.A.D City",Kendrick Lamar,"242,000",2
3,"God Forgives , I Do n't",Rick Ross,"218,000",1
4,Cruel Summer,GOOD Music,"205,000",2
5,Trouble Man : Heavy Is the Head,T.I,"179,000",2
6,Dreams & Nightmares,Meek Mill,"165,000",2
7,Life Is Good,Nas,"149,000",1
8,Based on a T.R.U . Story,2 Chainz,"147,000",1
9,O.N.I.F.C,Wiz Khalifa,"141,000",2
10,Gespaltene Persönlichkeit,Kool Savas & Xavier Naidoo as Xavas,"+100,000",1
