Train name,Operator,Train endpoints,Operated
Akatsuki,JR-West,Kyoto - Nagasaki,1965 - Mar 2008
Akebono,JR East,Ueno - Aomori,1970 - Jan 2015
Asakaze,JR-West,Tokyo - Shimonoseki,1956 - Mar 2005
Cassiopeia,JR East,Ueno - Sapporo,1999 - Mar 2016
Dream Nichirin,JR Kyushu,"Hakata - Minami-Miyazaki , Miyazaki Airport",1993-2011
Fuji,JR Kyushu,Tokyo - Ōita,1964 - Mar 2009
Hayabusa,JR Kyushu,Tokyo - Kumamoto,1958 - Mar 2009
Hokuriku,JR East,Ueno - Kanazawa,1947 - Mar 2010
Hokutosei,JR East / JR Hokkaido,Ueno - Sapporo,1988 - August 2015
Izumo,JR East,Tokyo - Izumoshi ( via Tottori ),1972 - Mar 2006
Marimo,JR Hokkaido,Sapporo - Kushiro,2001-2008
Naha,JR Kyushu,Kyoto - Kumamoto,1968 - Mar 2008
Nihonkai,JR-West / JR East,Ōsaka - Aomori,1968 - Mar 2012
Sunrise Izumo,JR Central / JR-West,Tokyo - Izumoshi ( via Okayama ),1998-
Sunrise Seto,JR Central / JR-West,Tokyo - Takamatsu,1998-
Okhotsk,JR Hokkaido,Sapporo - Abashiri,1992 - Mar 2006 ; Daytime service continues
Rishiri,JR Hokkaido,Sapporo - Wakkanai,2000-2007
Sakura,JR Kyushu,Tokyo - Nagasaki,1959 - Mar 2005
Suisei,JR-West,Kyoto - Minami-Miyazaki,1968-2005
Twilight Express,JR-West,Ōsaka - Sapporo,1989 - Mar 2015
