Original NFL team,Player,Pos,College,Conf
Arizona Cardinals,Max Hall,QB,BYU,MWC
Atlanta Falcons,Rafael Bush,S,South Carolina State,MEAC
Atlanta Falcons,Justin Drescher,LS,Colorado,Big 12
Baltimore Ravens,Morgan Cox,LS,Tennessee,SEC
Buffalo Bills,Joique Bell,RB,Wayne State,GLIAC
Buffalo Bills,David Nelson,WR,Florida,SEC
Cincinnati Bengals,James Develin,FB,Brown,Ivy
Cincinnati Bengals,Vincent Rey,LB,Duke,ACC
Dallas Cowboys,Barry Church,S,Toledo,MAC
Dallas Cowboys,Phil Costa,C,Maryland,ACC
Dallas Cowboys,Danny McCray,S,LSU,SEC
Dallas Cowboys,Andrew Sendejo,S,Rice,C-USA
Green Bay Packers,Sam Shields,CB,Miami ( FL ),ACC
Green Bay Packers,Frank Zombo,LB,Central Michigan,MAC
Houston Texans,Mitch Unrein,DT,Wyoming,MWC
Minnesota Vikings,Marcus Sherels,KR,Minnesota,Big Ten
New Orleans Saints,Junior Galette,LB,Stillman,SIAC
New Orleans Saints,Chris Ivory,RB,Tiffin,GLIAC
New York Giants,Jake Ballard,TE,Ohio State,Big Ten
New York Giants,Victor Cruz,WR,UMass,CAA
