Round,Pick,Player,Recruited from,League,Club
Priority,1,Tom Scully,Dandenong Stingrays,TAC Cup,Melbourne
1,2,Jack Trengove,Sturt,SANFL,Melbourne
1,3,Dustin Martin,Bendigo Pioneers,TAC Cup,Richmond
1,4,Anthony Morabito,Peel,WAFL,Fremantle
1,5,Ben Cunnington,Geelong Falcons,TAC Cup,North Melbourne
1,6,Gary Rohan,Geelong Falcons,TAC Cup,Sydney
1,7,Brad Sheppard,East Fremantle,WAFL,West Coast
1,8,John Butcher,Gippsland Power,TAC Cup,Port Adelaide
1,9,Andrew Moore,Eastern Ranges,TAC Cup,Port Adelaide
1,10,Jake Melksham,Calder Cannons,TAC Cup,Essendon
1,11,Jordan Gysberts,Eastern Ranges,TAC Cup,Melbourne
1,12,Kane Lucas,East Fremantle,WAFL,Carlton
1,13,Daniel Talia,Calder Cannons,TAC Cup,Adelaide
1,14,Lewis Jetta,Swan Districts,WAFL,Sydney
1,15,Christian Howard,Glenelg,SANFL,Western Bulldogs
1,16,Jasper McMillan-Pittard,Geelong Falcons,TAC Cup,Port Adelaide
1,17,Daniel Menzel,Central District,SANFL,Geelong
2,18,Luke Tapscott,North Adelaide,SANFL,Melbourne
2,19,Benjamin Griffiths,Eastern Ranges,TAC Cup,Richmond
2,20,Nathan Fyfe,Claremont,WAFL,Fremantle
