Year,Winner,High school,University
1980,Tim McCormick,Clarkston,Michigan
1979,Jay Smith,Mio AuSable High School,"Bowling Green , Saginaw Valley State"
1978,Trent Tucker,Flint Northwestern,Minnesota
1977,Earvin Magic Johnson,Lansing Everett,Michigan State
1976,Stuart House,Detroit Denby,Washington State
1975,Bruce Flowers,Berkley,Notre Dame
1974,Tony Smith,Saginaw,Nevada-Las Vegas
1973,Tom LaGarde,Detroit Catholic Central,North Carolina
1972,Larry Fogle,Detroit Cooley,Canisius
1971,Michael Campy Russell,Pontiac Central,Michigan
1970,Rick Drewitz,Garden City West,Kentucky
1969,Ernie Johnson,Grand Rapids Ottawa Hills,Michigan
1968,Ralph Simpson,Detroit Pershing,Michigan State
1967,Spencer Haywood,Detroit Pershing,University of Detroit
1966,Rudy Tomjanovich,Hamtramck,Michigan
1965,L. C. Bowen,Benton Harbor,Bradley
1964,Willie Betts,River Rouge,Bradley
1963,Craig Dill,Saginaw Arthur Hill,Michigan
1962,Ernie Thompson,Saginaw,Bradley
1961,Reggie Harding,Detroit Eastern,None
