Urban Area,Population,Region,Territorial Authority
Ashburton,"19,600",Canterbury,Ashburton District
Blenheim,"26,400",Marlborough,Marlborough District
Kaiapoi,"11,850",Canterbury,Waimakariri District
Mosgiel,"13,400",Otago,Dunedin City
Oamaru,"13,150",Otago,Waitaki District
Queenstown,"15,650",Otago,Queenstown Lakes District
Rangiora,"18,400",Canterbury,Waimakariri District
Richmond,"15,000",Tasman,Tasman District
Rolleston,"16,350",Canterbury,Selwyn District
Timaru †,"28,300",Canterbury,Timaru District
