Issue date,Cover subject,Cover type,Artist
1/4/ 2016,Jennifer Lopez of Shades of Blue,Photograph,Kenneth Willardt
1/18/2016,Gillian Anderson and David Duchovny of The X-Files,Photograph,Frank Ockenfels/ Fox
2/1/2016,Norman Reedus and Andrew Lincoln of The Walking Dead,Photograph,Jeff Lipsky
2/15/2016,Taylor Kinney of Chicago Fire,Photograph,Chris Haston/ NBC
2/29/2016,"Jeff Garlin , Wendi McLendon-Covey , and Sean Giambrone of The Goldbergs",Photograph,Adam Olszewski
3/7/2016,Mark Harmon of NCIS,Photograph,Kevin Lynch for TV Guide
3/21/2016,Hugh Laurie of The Night Manager,Photograph,Mitch Jenkins/Ink Factory/ AMC
4/4/2016,Caitriona Balfe and Sam Heughan of Outlander,Photograph,Don Flood
4/18/2016,Nikolaj Coster-Waldau of Game of Thrones,Photograph,Lorenzo Aglus/CPI for TV Guide
5/2/2016,Tom Selleck of Blue Bloods,Photograph,Jeff Lipski/CPI for TV Guide
5/9/2016,Michael Weatherly of NCIS,Photograph,Jeff Lipski/CPI
5/23/2016,Simon Cowell of America 's Got Talent,Photograph,Art Streiber/ NBC
6/6/2016,"Scott Speedman , Ellen Barkin , and Shawn Hatosy of Animal Kingdom",Photograph,Steven Lippman/ TNT
6/20/2016,Seth Meyers of Late Night,Photograph,Lloyd Bishop/ NBC
6/27/2016,"Game Show Fever ( 3 covers ) * Alec Baldwin of Match Game * Steve Harvey of Celebrity Family Feud * Michael Strahan of The $ 100,000 Pyramid",Photograph,Baldwin : Steve Schofield Harvey : Robert Ector Strahan : Steve Erle
7/11/2016,Dwayne Johnson of Ballers,Photograph,Nino Munoz/CPI
7/25/2016,Rami Malek and Christian Slater of Mr . Robot,Photograph,Jim Wright
8/9/2016,"2016 Summer Olympics edition , featuring Team USA athletes Michael Phelps , Carli Lloyd , and Simone Biles",Photo montage,Phelps : Stacy Revere/Getty Images ; Lloyd : Alexis Cuarezma/ Sports Illustrated /Contour by Getty Images ; Biles : Gregory Bull/ AP
8/22/2016,"Ultimate Fall TV Catch-Up Guide , featuring Jaimie Alexander and Sullivan Stapleton of Blindspot ( Inset : Henry Winkler and William Shatner of Better Late Than Never )",Photograph,Blindspot : Sandro/ NBC Better : Paul Drinkwater/NBC
9/5/2016,"Fall Sneak Peak , featuring Clayne Crawford and Damon Wayans of Lethal Weapon",Photograph,Brian Bowen Smith/ Fox
