Round,Pick #,Overall,Name,Position,College
1,4,4,Chris Doleman,Defensive end,Pittsburgh
2,2,30,Issiac Holt,Cornerback,Alcorn State
3,3,59,Kirk Lowdermilk,Center,Ohio State
3,4,60,Tim Meamber,Linebacker,Washington
3,10,66,Tim Long,Offensive tackle,Memphis State
4,1,85,Buster Rhymes,Wide receiver,Oklahoma
4,22,106,Kyle Morrell,Safety,Brigham Young
5,3,115,Mark MacDonald,Guard,Boston College
6,2,142,Steve Bono,Quarterback,UCLA
6,24,164,Tim Newton,Defensive tackle,Florida
8,2,198,Nikita Blair,Linebacker,UTEP
9,3,227,Jamie Covington,Running back,Syracuse
10,2,254,Juan Johnson,Wide receiver,Langston
11,3,283,Tim Williams,Defensive back,North Carolina A & T
12,2,310,Byron Jones,Defensive tackle,Tulsa
