Order,Artist,Song ( original artists ),Result
1,Eva Weel Skram,Two Way Monologue ( Sondre Lerche ),Safe
2,Andrea Gjendem Brændvik,My Lullaby ( Maria Mena ),Eliminated
3,Erik Flaa,My Woman ( Locomotives ),Bottom two
4,Mari Vestbø,Wide Awake ( Briskeby ),Safe
5,Alejandro Fuentes,Century ( Erik Faber ),Safe
6,Cindy Hovde,Burning ( Maria Arredondo ),Safe
7,Tone Damli Aaberge,Girls Keep Secrets in the Strangest Ways ( Ephemera ),Safe
8,David Bakke,Baby You 're So Cool ( Espen Lind ),Safe
9,Malin Pettersen,Just a Little Heartache ( Maria Arredondo ),Bottom three
10,Christian Stenseng,Velvet ( Savoy ),Safe
11,Jorun Stiansen,Scared ( Venke Knutson ),Safe
