Club,City/Neighborhood,Area,Stadium
Acassuso,Boulogne Sur Mer,Greater Buenos Aires,La Quema
Almirante Brown,Isidro Casanova,Greater Buenos Aires,Fragata Pte . Sarmiento
Argentino,Quilmes,Greater Buenos Aires,Argentino de Quilmes
Armenio,Ingeniero Maschwitz,Buenos Aires Province,República de Armenia
Colegiales,Munro,Greater Buenos Aires,Libertarios Unidos
Comunicaciones,Agronomía,Buenos Aires,Alfredo Ramos
Defensores Unidos,Zarate,Greater Buenos Aires,Estadio Gigante de Villa Fox
Fénix,Pilar,Buenos Aires Province,( none )
Flandria,Jáuregui,Greater Buenos Aires,Estadio Carlos V
Justo José de Urquiza,Loma Hermosa,Greater Buenos Aires,Ramón Roque Martín
Los Andes,Lomas de Zamora,Greater Buenos Aires,Eduardo Gallardón
Sacachispas,Villa Soldati,Buenos Aires,Beto Larossa
San Miguel,San Miguel,Greater Buenos Aires,Malvinas Argentinas
San Telmo,Dock Sud,Greater Buenos Aires,Osvaldo Baletto
Talleres ( BA ),Remedios de Escalada,Greater Buenos Aires,Estadio de Talleres
Tristán Suárez,Tristán Suárez,Greater Buenos Aires,20 de Octubre
UAI Urquiza,Villa Lynch,Greater Buenos Aires,Monumental de Villa Lynch
Villa San Carlos,Berisso,Greater Buenos Aires,Genacio Sálice
