Name,Country of birth,Rank,Branch,Place of action,Date of action
Jake Allex,Serbia,Corporal,Army,"Chipilly , France","August 9 , 1918"
Johannes S. Anderson,Finland,First Sergeant,Army,"Consenvoye , France","October 8 , 1918"
Louis Cukela,Croatia,Sergeant,Marine Corps,"Villers-Cotterêts , France","July 18 , 1918"
George Dilboy *,Turkey,Private First Class,Army,"Belleau , France","July 18 , 1918"
George Price Hays,China,First Lieutenant,Army,"Greves Farm , France","July 14 , 1918 - July 15 , 1918"
Matej Kocak *,Slovakia,Sergeant,Marine Corps,"Soissons , France","July 18 , 1918"
John C. Latham,"England , United Kingdom",Sergeant,Army,"Le Catelet , France","September 29 , 1918"
Berger Loman,Norway,Private,Army,"Consenvoye , France","October 9 , 1918"
James I. Mestrovitch *,Montenegro,Sergeant,Army,"Fismette , France","August 10 , 1918"
John O. Siegel,Germany,Boatswain 's Mate Second Class,Navy,Chesapeake Bay,"November 1 , 1918"
Joseph H. Thompson,Ireland,Major,Army,"Apremont , France","October 1 , 1918"
Michael Valente,Italy,Private,Army,"Ronssoy , France","September 29 , 1918"
Ludovicus M. M. Van Iersel,Netherlands,Sergeant,Army,"Mouzon , France","November 9 , 1918"
Reidar Waaler,Norway,Sergeant,Army,"Ronssoy , France","September 27 , 1918"
