Year,Title,Role,Notes
2000,Becker,Rosie,Episode : Old Yeller
2000,Then Came You,Cheryl Sominsky,Main cast ; 10 episodes
2001,Deadline,Rachel Blake,Episode : Just Lie Back
2001-2002,Inside Schwartz,Julie Hermann,Main cast ; 11 episodes
2004,Married to the Kellys,Justin,Episode : Double Dating
2005,The West Wing,Christine,Episode : King Corn
2006,My Name Is Earl,Gwen Waters,Episode : BB
2006-2007,Big Day,Becca,Main cast ; 12 episodes
2007,Law & Order : Criminal Intent,Rebecca Slater,Episode : 30
2008,Swingtown,Janet Thompson,Main cast ; 13 episodes
2009,Bored to Death,Bonnie,Episode : The Case of the Stolen Sperm
2007-2010,Damages,Carrie Parsons,5 episodes
2011,Mildred Pierce,Anna,Miniseries ; 4 episodes
2012,GCB,Cricket Caruth-Reilly,Main cast ; 10 episodes
"2012 , 2016",Royal Pains,Fannie Todd,Episodes : Who 's Your Daddy and The Good News Is
2012-2014,The Good Wife,Mandy Post,6 episodes
2015-present,Younger,Diana Trout,Main cast Nominated - Critics ' Choice Television Award for Best Supporting Actress in a Comedy Series ( 2018 )
2015,Jessica Jones,Alisa Jones,Episode : AKA WWJD ?
2016,Elementary,Jennifer Bader,Episode : Ready or Not
2017,Broad City,Crying Neighbor,Episode : Just the Tips
