No,Name,Party,Assumed Office,Term Expires
1,Prakash Javadekar,Bhartiya Janata Party,"April 3 , 2018","April 2 , 2024"
2,Husain Dalwai,Indian National Congress,"April 3 , 2014","April 2 , 2020"
3,Vikas Mahatme,Bhartiya Janata Party,"July 5 , 2016","July 4 , 2022"
4,Amar Shankar Sable,Bhartiya Janata Party,"March 14 , 2015","April 2 , 2020"
5,Anil Desai,Shiv Sena,"April 3 , 2018","April 2 , 2024"
6,Rajkumar Dhoot,Shiv Sena,"April 3 , 2014","April 2 , 2020"
7,Piyush Goyal,Bhartiya Janata Party,"July 5 , 2016","July 4 , 2022"
8,Vinay Sahasrabuddhe,Bhartiya Janata Party,"July 5 , 2016","July 4 , 2022"
9,Ramdas Athawale,Republican Party of India,"April 3 , 2014","April 2 , 2020"
10,P. Chidambaram,Indian National Congress,"July 5 , 2016","July 4 , 2022"
11,Narayan Rane,Bhartiya Janata Party,"April 3 , 2018","April 2 , 2024"
12,Sanjay Kakade,Independent,"April 3 , 2014","April 2 , 2020"
13,Sanjay Raut,Shiv Sena,"July 5 , 2016","July 4 , 2022"
14,V. Muraleedharan,Bhartiya Janata Party,"April 3 , 2018","April 2 , 2024"
15,Kumar Ketkar,Indian National Congress,"April 3 , 2018","April 2 , 2024"
16,Praful Patel,Nationalist Congress Party,"July 5 , 2016","July 4 , 2022"
17,Vandana Chavan,Nationalist Congress Party,"April 3 , 2018","April 2 , 2024"
18,Sharad Pawar,Nationalist Congress Party,"April 3 , 2014","April 2 , 2020"
19,Majeed Memon,Nationalist Congress Party,"April 3 , 2014","April 2 , 2020"
