Character,Species,Origin
Cathryn Aura,Vulture,Kevin and Kell
Condorito,Andean condor,Condorito
Gyoutenmaru,Hawk,Change 123
Gulfan,Eagle,Yona of the Dawn
Hooty,Owl,Dr. Mid-nite
Howland Owl,Owl,Pogo
Loki Helios,Owl,Hoshi no Samidare
Professor,Owl,Princess Resurrection
Sarcophagus MacAbre,Buzzard,Pogo
Redwing,Hawk,Marvel Comics
Shimshek,Hawk,Red River
Simorgh,Eagle,Seirei Tsukai no Kenbu
Oehoeboeroe,Owl,Paulus the woodgnome
Ossie Owl,Owl,Acorn Green
Uil,Owl,Olle Kapoen
Urban,Owl,Ugglan Urban
Wiz,Merlin,Shoe ( comic strip )
