Transitional Authority Position,Name,Ethnicity,Incumbent/New
President,Hamid Karzai,Pashtun,Incumbent ( before chairman )
Vice-President and Defense Minister,Mohammed Fahim,Tajik,Incumbent
Vice-President,Karim Khalili,Hazara,New
Vice-President,Hedayat Amin Arsala,Pashtun,New ( was Finance Minister )
Vice-President and Public Works Minister,Abdul Qadir Abdul Ali,Pashtun,"New ( was Urban Affairs Minister ) ( killed on July 6 , 2002 ) New ( Ali only took over the Public Works portfolio after July 6 , 2002"
Vice-President and head of the Afghan Constitution Commission,Nematullah Shahrani,Uzbek,New
Special Advisor on Security and Education Minister,Yunus Qanooni,Tajik,Incumbent ( Special Advisor on Security is new post )
Foreign Minister,Abdullah Abdullah,Tajik,Incumbent
Finance Minister,Ashraf Ghani,Pashtun,New
Interior Minister,Taj Mohammed Wardak Ali Ahmad Jalali,Pashtun Pashtun,New New ( Jalali replaced Wardak in Januari 2003 )
Planning Minister,Mohammed Mohaqqeq,Hazara,Incumbent ( but lost role as vice-chair )
Communications Minister,Masoom Stanakzai,Pashtun,New
Borders Minister,Arif Nurzai,Pashtun,New ( was Small Industries Minister )
Refugees Minister,Intayatullah Nazeri,Tajik,Incumbent
Mines Minister,Juma Muhammad Muhammadi,Pashtun,New
Light Industries Minister,Mohammed Alim Razm,Uzbek,Incumbent
Health Minister,Sohaila Siddiqi,Pashtun,Incumbent
Commerce Minister,Sayed Mustafa Kasemi,Shiite Muslim,Incumbent
Agriculture Minister,Sayed Hussain Anwari,Hazara,Incumbent
Justice Minister,Abbas Karimi,Uzbek,Incumbent
