Date,Co-Hosts,Guests/Segments
September 3,Regis Philbin & Kelly Ripa,"Glenn Close , Dylan and Cole Sprouse and a segment on the series ' history"
September 4,Regis Philbin & Kelly Ripa,"Daniel Radcliffe , Jerome Bettis , a montage of comical moments over the years"
September 5,Regis Philbin & Kelly Ripa,"David Duchovny , Jimmie Johnson , a segment on Regis ' health"
September 6,Regis Philbin & Kelly Ripa,"Alan Alda , Teri Hatcher , places the show has visited over the years"
September 7,Regis Philbin & Kelly Ripa,"Richard Gere , Avril Lavigne , a segment on past dance trends"
September 10,Regis Philbin & Kelly Ripa,"Michael Douglas , Terrence Howard , Roger Federer , a look at executive producer Michael Gelman 's contributions to the show over the years"
September 11,Regis Philbin & Kelly Ripa,"Jodie Foster , Lyle Lovett , a look at daring feats attempted on the show over the years"
September 12,Regis Philbin & Kelly Ripa,"Billy Bob Thornton , Fall Out Boy , a look at Art Moore through the years"
September 13,Regis Philbin & Kelly Ripa,"Patricia Heaton , Chris Daughtry , memorable host chats over the years"
September 14,Regis Philbin & Kelly Ripa,"LIVE 's 20th Anniversary , Kathie Lee Gifford"
September 17,Regis Philbin & Kelly Ripa,"Morgan Freeman , Ashanti , Diana Krall"
September 18,Regis Philbin & Kelly Ripa,"Kelsey Grammer , Brad Garrett , KT Tunstall"
September 19,Regis Philbin & Kelly Ripa,"Jessica Alba , Jeff Probst , Kenneth Edmonds"
September 20,Regis Philbin & Kelly Ripa,"Courtney Thorne-Smith , John Edward , Rusty Wallace"
September 21,Regis Philbin & Kelly Ripa,LIVE 's 2007 Relly Awards
September 24,Regis Philbin & Kelly Ripa,"Hayden Panettiere , Judy Sheindlin"
September 25,Regis Philbin & Kelly Ripa,"Jamie Foxx , Peter Krause"
September 26,Regis Philbin & Kelly Ripa,"Dwayne Johnson , Queen Latifah , Carrot Top"
September 27,Regis Philbin & Kelly Ripa,"Tony Bennett , Jennifer Garner , Diane Sawyer"
September 28,Kelly Ripa & Pat Sajak,"Sally Field , Molly Sims , Melissa Etheridge"
