City,Population,Province
Vientiane ( Capital ),"768 , 743",Vientiane Prefecture
Pakse ( Pakxe ),"88,332",Champasak
Savannakhet,"66,553",Savannakhet
Luang Prabang ( Louangphrabang ),"47,378",Luang Prabang ( Louangphrabang )
"Xam Neua ( Xam Nua , Sam Neua )","38,992",Houaphanh
Phonsavan ( Ban Phonsavan ),"37,507",Xiangkhouang
Thakhek,"26,200",Khammouane ( Khammouan )
Muang Xay ( Oudomxai ),"25,000",Oudomxay ( Oudomxai )
Xaysomboun ( Viengchan ),"25,000",Vientiane
Pakxan ( Muang Pakxan ),"21,967",Bolikhamsai ( Bolikhamxai )
Attapeu ( Attopu ),,Attapeu ( Attopu )
Ban Houayxay,,Bokeo
Luang Namtha,,Luang Namtha
Phongsali ( Phongsaly ),,Phongsali ( Phongsaly )
Sainyabuli ( Xaignabouli ),,Sainyabuli ( Xaignabouli )
Salavan ( Saravane ),,Salavan ( Saravane )
Sekong ( Xekong ),,Sekong ( Xekong )
