Position,Player,To club,Fee
ST,Ahmad Qushairi Mustafa,Felda United F.C,align=right| 0
DF,Gusti Ishak Fitri Shah Said,Kuala Lumpur FA,align=right| 0
MF,Tunku Noor Hidayat Tunku Ishak,Penang FA,align=right| 0
MF,Mohd Amirul Hisyam Awang Kechik,Harimau Muda A,align=right| 0
MF,Muhd Azri Zulkiflee,Kuala Lumpur FA,align=right| 0
ST,Azahari Radzali,Perlis FA,align=right| 0
MF,Mohd Helmi Hariri Ibrahim,Kuala Lumpur FA,align=right| 0
MF,Muhd Faizzwan Dorahim,Perak FA,align=right| 0
MF,Muhd Farhan Hazmi Mohd Nasir,Kuala Lumpur FA,align=right| 0
D/ML,Muhd Syazwan Zaipol Bahari,Harimau Muda B,align=right| 0
AMC,Muhammad Irfan Zakaria,Harimau Muda B,align=right| 0
MC,Muhd Azalinullah Mohd Alias,T-Team F.C,align=right| 0
DC,Mohd Arif Fadzilah Abu Bakar,T-Team F.C,align=right| 0
GK,Abdul Gafur Samsudin,Selangor FA,align=right| 0
DF,Muhd Azrul Zulkifli,Sungai Ara F.C,align=right| 0
DF,Mohd Faris Shah Rosli,Harimau Muda B,align=right| 0
ST,Ahmad Azriddin Rosli,Felda United F.C,align=right| 0
AMR,Muhd Shahrul Hakim Rahim,Negeri Sembilan FA,align=right| 0
AMC,Muhd Syahrizal Shaharin,Negeri Sembilan FA,align=right| 0
MC,Shakir Zufayri Ibrahim,Terengganu FA,align=right| 0
