Year,Title,Role
2000,Songcatcher,Deladis Slocumb
2000,It Had to Be You,Young Girl
2001,An American Rhapsody,Sheila - age 15
2001,Happy Now ?,Nicky Trent / Jenny Thomas
2002,Passionada,Vicky Amonte
2003,Nola,Nola
2003,Mystic River,Katie Markum
2004,The Day After Tomorrow,Laura Chapman
2004,The Phantom of the Opera,Christine Daaé
2006,Poseidon,Jennifer Ramsey
2009,Dragonball Evolution,Bulma
2009,Dare,Alexa Walker
2011,Inside,Christina Perasso
2013,Beautiful Creatures,Ridley Duchannes
2014,Before I Disappear,Maggie
2014,Comet,Kimberly
2014,You 're Not You,Bec
2018,A Futile and Stupid Gesture,Kathryn Walker
2018,That 's Harassment,Journalist
2019,Cold Pursuit,Kim Dash
