Event,Gold,Silver,Bronze
Freestyle 55 kg,Francisco Sánchez,Firas Rifaei,Ramazan Demir Hamza Fatah
Freestyle 60 kg,Hassan İbrahim,Tevfik Odabaşı,Didier Païs Valerios Kogouasvili
Freestyle 66 kg,Vadim Guigolaev,Mazen Kadmani,Levent Kaleli Walid El Aal
Freestyle 74 kg,Theodosios Pavlidis,Fahrettin Özata,Rachid Ben Ali Salvatore Rinella
Freestyle 84 kg,Serhat Balcı,Lazaros Loizidis,Anthony Fasugba Mahmoud Attia
Freestyle 96 kg,Hakan Koç,Vincent Aka-Akesse,Aftantil Xanthopoulos Saleh Emara
Freestyle 120 kg,Aydın Polatçı,Hisham Mohamed,Francesco Miano-Petta Akil Kahli
Greco-Roman 55 kg,Kristijan Fris,Mohamed Abou,Erkan Dündar Vicente García
Greco-Roman 60 kg,Ashraf El Gharably,Davor Štefanek,Uğur Tüfenk Zakaria Nashed
Greco-Roman 66 kg,Selçuk Çebi,Moisés Sánchez,Tiziano Corriga Yaser Salih
Greco-Roman 74 kg,Mahmut Altay,Ahmed Salem,José Alberto Recuero Christophe Guenot
Greco-Roman 84 kg,Mohamed Abdelfatah,Serkan Özden,Melonin Noumonvi Amor Hamba
Greco-Roman 96 kg,Karam Gaber,Georgios Koutsioumpas,Mehmet Özal Radomir Petković
Greco-Roman 120 kg,Xenofon Koutsioumpas,Yekta Yılmaz Gül,Daniele Ficara Yasser Sakr
