Dance,Best dancer ( s ),Best score,Worst dancer ( s ),Worst score
Cha Cha Cha,Liliana Matthäus,30,Thomas Karaoglan,13
Discofox-a-thon,Thomas Karaoglan,10,Jörn Schlönvoigt,2
Jive,Maite Kelly,30,Thomas Karaoglan,19
Paso Doble,Maite Kelly,39,Thomas Karaoglan Jörn Schlönvoigt,18
Waltz,Maite Kelly,34,Regina Halmich,17
Quickstep,Maite Kelly,35,Thomas Karaoglan,11
Rumba,Maite Kelly,35,Tim Lobinger Jörn Schlönvoigt,15
Tango,Moritz A. Sachs,35,Kristina Bach,17
Salsa,Moritz A. Sachs Maite Kelly,36,Kristina Bach,11
Samba,Moritz A. Sachs,36,Bernd Herzsprung,25
Viennese Waltz,Moritz A. Sachs,38,Thomas Karaoglan,20
Freestyle,Maite Kelly,39,Moritz A. Sachs,38
