Member,Representing,Political party,Member since
Mário Centeno,Portugal President,None,26 November 2015 President since 13 January 2018
Gernot Blümel,Austria,European People 's Party National : Austrian People 's Party,7 January 2020
Alexander De Croo,Belgium,Alliance of Liberals and Democrats for Europe Party National : Open Flemish Liberals and Democrats,9 December 2018
Harris Georgiades,Cyprus,European People 's Party National : Democratic Rally,3 April 2013
Martin Helme,Estonia,Movement for a Europe of Nations and Freedom National : Conservative People 's Party of Estonia,29 April 2019
Katri Kulmuni,Finland,Alliance of Liberals and Democrats for Europe National : Centre Party of Finland,10 December 2019
Bruno Le Maire,France,None National : La République En Marche !,17 May 2017
Olaf Scholz,Germany,Party of European Socialists National : Social Democratic Party,14 March 2018
Christos Staikouras,Greece,European People 's Party National : New Democracy,9 July 2019
Paschal Donohoe,Ireland,European People 's Party National : Fine Gael,14 June 2017
Roberto Gualtieri,Italy,Party of European Socialists National : Democratic Party,5 September 2019
Jānis Reirs,Latvia,European People 's Party National : Unity,23 January 2019
Vilius Šapoka,Lithuania,None,13 December 2016
Pierre Gramegna,Luxembourg,Alliance of Liberals and Democrats for Europe Party National : Democratic Party,4 December 2013
Edward Scicluna,Malta,Party of European Socialists National : Labour Party,13 March 2013
Wopke Hoekstra,Netherlands,European People 's Party National : Christian Democratic Appeal,26 October 2017
Ladislav Kamenický,Slovakia,Party of European Socialists National : Direction - Social Democracy,7 May 2019
Andrej Bertoncelj,Slovenia,Alliance of Liberals and Democrats for Europe Party National : List of Marjan Šarec,13 September 2018
María Jesús Montero,Spain,Party of European Socialists National : Spanish Socialist Workers ' Party,13 January 2020
