Medal,Name,Sport,Event,Date
Gold,Ryan Leonard Lalisang,Bowling,Men 's singles,3
Gold,Taufik Hidayat,Badminton,Men 's Singles,9
Silver,Putty Armein,Bowling,Women 's singles,3
Silver,Syafrizaldy,Body Building,Men 's 70 kg,8
Silver,Luluk Hadiyanto Alvent Yulianto,Badminton,Men 's Doubles,9
Silver,Susyana Tjhan,Wushu,Women 's Changquan,14
Bronze,Luluk Hadiyanto Taufik Hidayat Markis Kido Sony Dwi Kuncoro Simon Santoso Hendra Setiawan Nova Widianto Alvent Yulianto,Badminton,Men 's Team,5
Bronze,Sinta Darmariani,Weightlifting,Women 's −75 kg,5
Bronze,Men 's Team,Sepaktakraw,Men 's Team,6
Bronze,Thomas Hallatu Sumardi Jamaluddin Iswandi,Rowing,Men 's Coxless Four,7
Bronze,Pere Karoba,Rowing,Women 's Single Sculls,7
Bronze,Markis Kido Hendra Setiawan,Badminton,Men 's Doubles,9
Bronze,Men 's Regu,Sepaktakraw,Men 's Regu,10
Bronze,Amalia Kurniasih Palupi,Taekwondo,Women 's +72 kg,10
Bronze,Agus Salim Supriadi,Beach Volleyball,Men,11
Bronze,Oka Sulaksana,Sailing,Men 's Mistral Heavyweight,11
Bronze,Jenny Zeannet Lolong,Karate,Women 's Kumite −53 kg,12
Bronze,Umar Syarief,Karate,Men 's Kumite +80 kg,13
Bronze,Mardiah Nasution,Karate,Women 's Kumite +60 kg,13
Bronze,Yudi Purnomo Jusri Pakke Husni Uba,Sepaktakraw,Men 's Double,13
