Original NFL team,Player,Pos,College,Conf
Chicago Bears,Kelly Blackwell,TE,TCU,SWC
Chicago Bears,Jim Schwantz,LB,Purdue,Big Ten
Cincinnati Bengals,Kevin Sargent,OT,Eastern Washington,Big Sky
Cincinnati Bengals,Milt Stegall,WR,Miami,MAC
Cincinnati Bengals,Jeff Thomason,TE,Oregon,Pac-10
Dallas Cowboys,Lin Elliot,K,Texas Tech,SWC
Detroit Lions,Eric Lynch,RB,Grand Valley State,MIFC
Detroit Lions,Bernard Wilson,DT,Tennessee State,OVC
Denver Broncos,Russell Freeman,G,Georgia Tech,ACC
Denver Broncos,Arthur Marshall,WR,Georgia,SEC
Denver Broncos,Willie Oshodin,DE,Villanova,Yankee
Miami Dolphins,Bernie Parmalee,RB,Ball State,MAC
Minnesota Vikings,John Jett,P,East Carolina,Ind . ( I-A )
New York Giants,Corey Raymond,CB,LSU,SEC
Phoenix Cardinals,Keith Rucker,DT,Eastern Michigan,MAC
San Diego Chargers,Alfred Pupunu,TE,Weber State,Big Sky
San Francisco 49ers,Derrick Deese,OT,USC,Pac-10
San Francisco 49ers,Mark Seay,WR,Long Beach State,Ind . ( I-A )
Seattle Seahawks,James Harris,DE,Temple,Big East
Seattle Seahawks,Rafael Robinson,CB,Wisconsin,Big Ten
