State,State grass,Scientific name
California,Purple needlegrass,Nassella pulchra
Colorado,Blue grama,Bouteloua gracilis
Illinois,Big bluestem ( state prairie grass ),Andropogon gerardii
Iowa,None,None
Kansas,Little bluestem,Schizachyrium scoparium ( Andropogon scoparius )
Minnesota,Wild rice ( state grain ),Zizania aquatica
Missouri,Big bluestem,Andropogon gerardii
Montana,Bluebunch wheatgrass,Agropyron spicatum
Nebraska,Little bluestem,Schizachyrium scoparium ( Andropogon scoparius )
Nevada,Indian ricegrass,Oryzopsis hymenoides
New Mexico,Blue grama,Bouteloua gracilis
North Dakota,Western wheatgrass,Pascopyrum smithii ( Agropyron smithii )
Oklahoma,Indian grass,Sorghastrum nutans
South Carolina,Indian grass,Sorghastrum nutans
South Dakota,Western wheatgrass,Agropyron smithii
Texas,Sideoats grama,Bouteloua curtipendula
Utah,Indian ricegrass,Oryzopsis hymenoides
Washington,Bluebunch wheatgrass,Agropyron spicatum
Wyoming,Western wheatgrass,Agropyron smithii
