Position,Player,Status*,2009 Team,2010 Team
OG,Andy Alleman,UFA,Kansas City Chiefs,Indianapolis Colts
RB,Jackie Battle,RFA,Kansas City Chiefs,Kansas City Chiefs
S,Mike Brown,UFA,Kansas City Chiefs,TBD
WR,Chris Chambers,UFA,Kansas City Chiefs,Kansas City Chiefs
WR,Terrance Copper,UFA,Kansas City Chiefs,Kansas City Chiefs
FB,Mike Cox,EFA,Kansas City Chiefs,Kansas City Chiefs
QB,Brodie Croyle,RFA,Kansas City Chiefs,Kansas City Chiefs
WR,Devard Darling,UFA,Kansas City Chiefs,TBD
WR,David Grimes,UFA,Denver Broncos,Kansas City Chiefs
LB,Derrick Johnson,RFA,Kansas City Chiefs,Kansas City Chiefs
RB,Thomas Jones,UFA,New York Jets,Kansas City Chiefs
CB,Maurice Leggett,EFA,Kansas City Chiefs,Kansas City Chiefs
OG,Ryan Lilja,UFA,Indianapolis Colts,Kansas City Chiefs
LB,Corey Mays,RFA,Kansas City Chiefs,Kansas City Chiefs
OT,Ikechuku Ndukwe,RFA,Kansas City Chiefs,Kansas City Chiefs
C,Rudy Niswanger,RFA,Kansas City Chiefs,Kansas City Chiefs
OT,Ryan O'Callaghan,RFA,Kansas City Chiefs,Kansas City Chiefs
S,Jarrad Page,RFA,Kansas City Chiefs,Kansas City Chiefs
OT,Barry Richardson,EFA,Kansas City Chiefs,Kansas City Chiefs
TE,Sean Ryan,UFA,Kansas City Chiefs,Washington Redskins
