Year,Winner,Song,Performer,Runner-up,3rd place
2007,Serbia,Molitva ( Молитва ),Marija Šerifović,Switzerland,Belarus
2008,Sweden,Hero,Charlotte Perrelli,Switzerland,Serbia
2009,Norway,Fairytale,Alexander Rybak,France,Sweden
2010,Denmark,In a Moment Like This,Chanée and N'evergreen,Israel,Germany
2011,Hungary,What About My Dreams ?,Kati Wolf,France,United Kingdom
2012,Sweden,Euphoria,Loreen,Italy,Iceland
2013,Denmark,Only Teardrops,Emmelie de Forest,San Marino,Norway
2014,Sweden,Undo,Sanna Nielsen,Hungary,Israel
2015,Italy,Grande amore,Il Volo,Sweden,Estonia
2016,France,J'ai cherché,Amir,Russia,Australia
2017,Italy,Occidentali 's Karma,Francesco Gabbani,Belgium,Sweden
2018,Israel,Toy,Netta Barzilai,France,Finland
2019,Italy,Soldi,Mahmood,Switzerland,Netherlands
