Name,Lat . / Long,Dia,Name Origin
Mons Agnes,18°40′N 5°20′E / 18.66°N 5.34°E / 18.66 ; 5.34,0.65 km,Greek feminine name
Mons Ampère,19°19′N 3°43′W / 19.32°N 3.71°W / 19.32 ; -3.71,30 km,"André-Marie Ampère , physicist"
Mons André,5°11′N 120°34′E / 5.18°N 120.56°E / 5.18 ; 120.56,10 km,French masculine name
Mons Ardeshir,5°02′N 121°02′E / 5.03°N 121.04°E / 5.03 ; 121.04,8 km,"Ardeshir ( Ardashir ) , Persian male name"
Mons Argaeus,19°20′N 29°01′E / 19.33°N 29.01°E / 19.33 ; 29.01,50 km,"Mount Erciyes , Asia Minor"
Mons Blanc,45°25′N 0°26′E / 45.41°N 0.44°E / 45.41 ; 0.44,25 km,"Mont Blanc , the Alps"
Mons Bradley,21°44′N 0°23′E / 21.73°N 0.38°E / 21.73 ; 0.38,30 km,"James Bradley , astronomer"
Mons Delisle,29°25′N 35°47′W / 29.42°N 35.79°W / 29.42 ; -35.79,30 km,Named after nearby crater Delisle
Mons Dieter,5°00′N 120°18′E / 5.00°N 120.30°E / 5.00 ; 120.30,20 km,German masculine name
Mons Dilip,5°35′N 120°52′E / 5.58°N 120.87°E / 5.58 ; 120.87,2 km,Indian masculine name
Mons Esam,14°37′N 35°43′E / 14.61°N 35.71°E / 14.61 ; 35.71,8 km,Arabic masculine name
Mons Ganau,4°47′N 120°35′E / 4.79°N 120.59°E / 4.79 ; 120.59,14 km,African masculine name
Mons Gruithuisen Delta,36°04′N 39°35′W / 36.07°N 39.59°W / 36.07 ; -39.59,20 km,Named after nearby crater Gruithuisen
Mons Gruithuisen Gamma,36°34′N 40°43′W / 36.56°N 40.72°W / 36.56 ; -40.72,20 km,Named after nearby crater Gruithuisen
Mons Hadley,26°41′N 4°07′E / 26.69°N 4.12°E / 26.69 ; 4.12,25 km,"John Hadley , inventor"
Mons Hadley Delta,25°43′N 3°43′E / 25.72°N 3.71°E / 25.72 ; 3.71,15 km,Named after nearby Mount Hadley
Mons Hansteen,12°11′S 50°13′W / 12.19°S 50.21°W / -12.19 ; -50.21,30 km,Named after nearby crater Hansteen
Mons Herodotus,27°30′N 52°56′W / 27.50°N 52.94°W / 27.50 ; -52.94,5 km,Named after nearby crater Herodotus
Mons Huygens,19°55′N 2°52′W / 19.92°N 2.86°W / 19.92 ; -2.86,40 km,"Christiaan Huygens , astronomer"
Mons La Hire,27°40′N 25°31′W / 27.66°N 25.51°W / 27.66 ; -25.51,25 km,"Philippe de la Hire , astronomer"
