Player,For,Against,Result,Date
Emmanuel Mbata,Kaya,Team Socceroo,7-1,23 January 2014
Jeffrey Christiaens,Global,Philippine Army,9-1,1 February 2014
Christian Pasilan,Green Archers United,Team Socceroo,7-1,4 February 2014
Mark Hartmann,Global,Team Socceroo,9-0,11 February 2014
OJ Porteria,Kaya,Philippine Army,9-1,13 February 2014
Diego Barrera,Team Socceroo,Stallion,4-3,13 March 2014
Mark Hartmann,Global,Team Socceroo,9-0,20 March 2014
Milad Behgandom,Global,Pasargad,7-0,29 March 2014
Freddy Gonzalez,Loyola,Philippine Army,4-1,5 April 2014
Jeong Woo Lee,Team Socceroo,Pasargad,6-2,11 May 2014
Izzeldin El Habbib,Global,Team Socceroo,7-0,14 June 2014
Izzeldin El Habbib,Global,Stallion,9-0,26 June 2014
