Team,Manager,Main sponsor,Kit supplier,Stadium,Capacity
Bohemians,Gareth Farrelly,Des Kelly Carpets,O'Neills,Dalymount Park,"8,500"
Bray Wanderers,Eddie Gormley,Slevin Group,Adidas,Carlisle Grounds,"7,000"
Cork City,Damien Richardson,Nissan,O'Neills,Turners Cross,"8,000"
Derry City,Stephen Kenny,MeteorElectrical.com,Umbro,The Brandywell,"7,700"
Drogheda United,Paul Doolin,Murphy Environmental,Jako,United Park,"5,400"
Dublin City,Dermot Keely,Carroll 's Irish Gift Stores,Umbro,Dalymount Park,"8,500"
Longford Town,Alan Mathews,Flancare,Umbro,Flancare Park,"4,500"
Shelbourne,Pat Fenlon,JW Hire,Umbro,Tolka Park,"10,100"
Sligo Rovers,Sean Connor,Toher 's,Jako,The Showgrounds,"5,500"
St Patrick 's Athletic,John McDonnell,Smart Telecom,Umbro,Richmond Park,"5,500"
UCD,Pete Mahon,Budweiser,O'Neills,Belfield Park,"1,900"
Waterford United,Gareth Cronin,ThermoFrame,Diadora,Waterford Regional Sports Centre,"8,000"
