Player,Original club,New club,Traded for
Scott Thompson,Melbourne,Adelaide,draft pick # 12
Callum Chambers,West Coast,Carlton,draft pick # 57
Troy Longmuir,Fremantle,Carlton,draft pick # 67
Chad Morrison,West Coast,Collingwood,draft pick # 37
Heath Black,St Kilda,Fremantle,Troy Simmonds
Josh Carr,Port Adelaide,Fremantle,"draft picks # 11 , # 27 and # 45"
Brad Ottens,Richmond,Geelong,draft picks # 12 and # 16
Bo Nixon and pick # 7,Collingwood,Hawthorn,draft picks # 10 and # 37
Nathan Thompson,Hawthorn,Kangaroos,draft picks # 10 and # 26
Paul Johnson,West Coast,Melbourne,draft pick # 29
Brent Moloney,Geelong,Melbourne,draft pick # 12
Peter Walsh and pick # 45,Melbourne,Port Adelaide,draft pick # 43
Aaron Shattock and pick # 34,Brisbane Lions,Port Adelaide,draft pick # 27 and # 45
Troy Simmonds,Fremantle,Richmond,Aaron Fiora
Aaron Fiora,Richmond,St Kilda,Heath Black
Darren Jolly,Melbourne,Sydney Swans,draft pick # 15
Tyson Stenglein,Adelaide,West Coast,draft picks # 12 and # 28
