Position,Jersey No,Player,Years on Team,# of Pro Bowls,Hall of Fame
1 Quarterback,22,"Layne , Bobby Bobby Layne",1958 - 1962,6,Yes
2 Running back,44,"Hoak , Dick Dick Hoak",1961 - 1971,1,No
2 Running back,35,"Johnson , John Henry John Henry Johnson",1960 - 1965,4,Yes
3 Wide receiver,87,"Jefferson , Roy Roy Jefferson",1965 - 1969,3,No
3 Wide receiver,25,"Mathews , Ray Ray Mathews",1951 - 1959,2,No
4 Tight end,81,"Nickel , Elbie Elbie Nickel",1947 - 1957,3,No
5 Center,21,"Cherundolo , Chuck Chuck Cherundolo","1941 - 1942 , 1945 - 1948",2,No
6 Guard,62,"Sandusky , Mike Mike Sandusky",1957 - 1965,1,No
6 Guard,66,"Van Dyke , Bruce Bruce Van Dyke",1967 - 1973,1,No
7 Tackle,71,"Bradshaw , Charlie Charlie Bradshaw",1961 - 1966,2,No
7 Tackle,74,"Varrichione , Frank Frank Varrichione",1955 - 1960,5,No
