Governor,Party,State or Territory,Endorsement,Date
Terry Branstad,Republican,Iowa,Mitt Romney,4.10.2012
Jan Brewer,Republican,Arizona,Mitt Romney,"February 26 , 2012"
Sam Brownback,Republican,Kansas,Rick Perry ( withdrawn ),"September 22 , 2011"
Phil Bryant,Republican,Mississippi,Mitt Romney,3.8.2012
Eddie Calvo,Republican,Guam,Mitt Romney,3.9.2012
Chris Christie,Republican,New Jersey,Mitt Romney,10.11.2011
Mitch Daniels,Republican,Indiana,Mitt Romney,"April 18 , 2012"
Nathan Deal,Republican,Georgia,Newt Gingrich ( withdrawn ),"December 13 , 2011"
Benigno Fitial,Republican,Northern Mariana Islands,Mitt Romney,3.9.2012
Luis Fortuño,Republican,Puerto Rico,Mitt Romney,"January 27 , 2012"
Bill Haslam,Republican,Tennessee,Mitt Romney,1.11.2012
Nikki Haley,Republican,South Carolina,Mitt Romney,"December 16 , 2011"
Dave Heineman,Republican,Nebraska,Mitt Romney,6.10.2011
Gary Herbert,Republican,Utah,Mitt Romney,"February 2 , 2012"
Bobby Jindal,Republican,Louisiana,Mitt Romney,4.10.2012
Bob McDonnell,Republican,Virginia,Mitt Romney,"January 20 , 2012"
Butch Otter,Republican,Idaho,Mitt Romney,"June 20 , 2011"
Rick Perry,Republican,Texas,Mitt Romney,"April 26 , 2012"
Brian Sandoval,Republican,Nevada,Mitt Romney,4.11.2012
Rick Scott,Republican,Florida,Mitt Romney,4.10.2011
