Year,Host country,Title,Narrator ( s )
1954,Switzerland,German Giants,Emil Fersil
1958,Sweden,Hinein !,Herbert Zimmermann Heribert Meisel Heinz Gottschalk
1962,Chile,Viva Brazil,John Fosberry Allan Grace
1966,England,Goal !,Nigel Patrick
1970,Mexico,The World at Their Feet,Patrick Allen
1974,West Germany,Heading for glory,Joss Ackland
1978,Argentina,Campeones,Steve Hudson
1982,Spain,G'olé !,Sean Connery
1986,Mexico,Hero,Michael Caine
1990,Italy,Soccer Shoot-Out,Edward Woodward
1994,United States,Two Billion Hearts,Liev Schreiber
1998,France,La Coupe de la Gloire,Sean Bean
2002,South Korea Japan,Seven Games from Glory,Robert Powell
2006,Germany,The Grand Finale,Pierce Brosnan
2010,South Africa,The Official 2010 FIFA World Cup Film in 3D ( also an official film : Match 64 ),Ian Darke
2014,Brazil,Brasil !,
2018,Russia,Dreams - The Official Film of the 2018 FIFA World Cup™,Damian Lewis
