Medal,Name,Sport,Event
Gold,Bertil Rönnmark,Shooting,"Men 's 50 metre rifle , prone"
Gold,Johan Gabriel Oxenstierna,Modern pentathlon,Men 's individual
Gold,Eric Malmberg,Wrestling ( Greco-Roman ),Men 's lightweight
Gold,Ivar Johansson,Wrestling ( Greco-Roman ),Men 's welterweight
Gold,Rudolf Svensson,Wrestling ( Greco-Roman ),Men 's heavyweight
Gold,Carl Westergren,Wrestling ( Greco-Roman ),Men 's light heavyweight
Gold,Ivar Johansson,Wrestling ( freestyle ),Men 's middleweight
Gold,Johan Richthoff,Wrestling ( freestyle ),Men 's heavyweight
Gold,Tore Holm Martin Hindorff Olle Åkerlund Åke Bergqvist,Sailing,Men 's 6 metre class
Silver,Erik Svensson,Athletics,Men 's triple jump
Silver,Thure Ahlqvist,Boxing,Men 's lightweight
Silver,Bo Lindman,Modern pentathlon,Men 's individual
Silver,Thure Sjöstedt,Wrestling ( freestyle ),Men 's light heavyweight
Silver,"Bertil Sandström Thomas Byström Gustaf Adolf Boltenstern , Jr",Equestrian,Team dressage
Bronze,Allan Carlsson,Boxing,Men 's featherweight
Bronze,Axel Cadier,Wrestling ( Greco-Roman ),Men 's middleweight
Bronze,Einar Karlsson,Wrestling ( freestyle ),Men 's featherweight
Bronze,Gustaf Klarén,Wrestling ( freestyle ),Men 's lightweight
Bronze,Gunnar Asther Daniel Sundén-Cullberg,Sailing,Men 's Star class
Bronze,"Clarence von Rosen , Jr",Equestrian,Individual jumping
