Rank,Name,Nation,Total Points,SP,FS
1,Kensuke Nakaniwa,Japan,187.03,3,1
2,Viktor Pfeifer,Austria,184.23,1,2
3,Jamal Othman,Switzerland,173.11,6,4
4,Maciej Cieplucha,Poland,170.57,9,3
5,Peter Liebers,Germany,169.14,5,5
6,Clemens Brummer,Germany,166.85,2,9
7,Tomoyuki Koriyama,Japan,159.36,11,7
8,Aleksey Bychenko,Ukraine,155.96,13,8
9,Przemysław Domański,Poland,155.65,4,13
10,Pavel Kaška,Czech Republic,155.33,7,12
11,Nikolay Bondar,Ukraine,152.90,12,10
12,Gregor Urbas,Slovenia,152.64,15,6
13,Jakub Strobl,Slovakia,146.77,10,14
14,Peter Reitmayer,Slovakia,141.64,8,16
15,Mikko Minkkinen,Finland,140.68,17,11
16,Jono Partridge,United Kingdom,134.37,14,17
17,Manuel Koll,Austria,131.80,18,15
18,David Richardson,United Kingdom,129.08,16,18
19,Maxim Shipov,Israel,120.72,19,19
20,Kutay Eryoldas,Turkey,104.61,20,20
