Team,Titles,Years won
Juventud Antoniana,2,"1995-96 , 1997-98"
Racing ( C ),2,"1998-99 , 2003-04"
Independiente Rivadavia,2,"1998-99 , 2006-07"
Almirante Brown ( A ),1,1996-97
San Martín ( M ),1,1996-97
Gimnasia y Esgrima ( CdU ),1,1997-98
General Paz Juniors,1,1999-00
Huracán ( TA ),1,2000-01
C.A.I,1,2001-02
Tiro Federal,1,2002-03
Ben Hur,1,2004-05
Villa Mitre,1,2005-06
Atlético Tucumán,1,2007-08
Boca Unidos,1,2008-09
Patronato,1,2009-10
Guillermo Brown,1,2010-11
Douglas Haig,1,2011-12
Talleres ( C ),1,2012-13
Santamarina,1,2013-14
