Match,Date,Venue and location,Result and details,Record
1,July 6,"Mediacom Stadium at Cooper Tennis Complex Springfield , Missouri","Philadelphia Freedoms 21 , SPRINGFIELD LASERS 20 ( super tiebreaker , 7-3 ) * MD : Ross Hutchins / Michael Russell ( Lasers ) 5 , Frank Dancevic / Marcelo Melo ( Freedoms ) 3 * WD : Olga Govortsova / Anna-Lena Grönefeld ( Lasers ) 5 , Liezel Huber / Taylor Townsend ( Freedoms ) 3 * XD : Liezel Huber/Marcelo Melo ( Freedoms ) 5 , Anna-Lena Grönefeld/Ross Hutchins ( Lasers ) 1 *** Anna-Lena Grönefeld substituted for Olga Govortsova at 0-2 * MS : Michael Russell ( Lasers ) 5 , Frank Dancevic ( Freedoms ) 3 * WS : Taylor Townsend ( Freedoms ) 5 , Olga Govortsova ( Lasers ) 4 * OT - WS : Taylor Townsend ( Freedoms ) 1 , Olga Govortsova ( Lasers ) 0 * STB - WS : Taylor Townsend ( Freedoms ) 7 , Olga Govortsova ( Lasers ) 3",1-0
2,July 8,"Valley View Casino Center San Diego , California","SAN DIEGO AVIATORS 20 , Philadelphia Freedoms 19 ( super tiebreaker , 7-1 ) * MS : Somdev Devvarman ( Aviators ) 5 , Frank Dancevic ( Freedoms ) 2 * WS : Taylor Townsend ( Freedoms ) 5 , Daniela Hantuchová ( Aviators ) 2 * XD : Marcelo Melo / Liezel Huber ( Freedoms ) 5 , Raven Klaasen / Květa Peschke ( Aviators ) 4 * WD : Květa Peschke/Daniela Hantuchová ( Aviators ) 5 , Liezel Huber/Taylor Townsend ( Freedoms ) 1 * MD : Frank Dancevic/Marcelo Melo ( Freedoms ) 5 , Raven Klaasen/Somdev Devvarman ( Aviators ) 3 * OT - MD : Frank Dancevic/Marcelo Melo ( Freedoms ) 1 , Raven Klaasen/Somdev Devvarman ( Aviators ) 0 * STB - MD : Raven Klaasen/Somdev Devvarman ( Aviators ) 7 , Frank Dancevic/Marcelo Melo ( Freedoms ) 1",1-1
3,July 10,"Kastles Stadium at the Charles E. Smith Center Washington , District of Columbia","WASHINGTON KASTLES 25 , Philadelphia Freedoms 10 * MS : Kevin Anderson ( Kastles ) 5 , Frank Dancevic ( Freedoms ) 2 * WD : Martina Hingis / Anastasia Rodionova ( Kastles ) 5 , Liezel Huber / Taylor Townsend ( Freedoms ) 2 * MD : Leander Paes / Bobby Reynolds ( Kastles ) 5 , Frank Dancevic/ Marcelo Melo ( Freedoms ) 3 * WS : Martina Hingis ( Kastles ) 5 , Taylor Townsend ( Freedoms ) 0 * XD : Martina Hingis/Leander Paes ( Kastles ) 5 , Liezel Huber/Marcelo Melo ( Freedoms ) 3 *** Leander Paes substituted for Kevin Anderson at 1-0",1-2
4,July 11,"Four Seasons Resort and Club Dallas at Las Colinas Irving , Texas","TEXAS WILD 22 , Philadelphia Freedoms 21 ( super tiebreaker , 7-1 ) * XD : Liezel Huber / Marcelo Melo ( Freedoms ) 5 , Anabel Medina Garrigues / Aisam Qureshi ( Wild ) 3 * MS : Alex Bogomolov , Jr. ( Wild ) 5 , Frank Dancevic ( Freedoms ) 4 * WD : Darija Jurak /Anabel Medina Garrigues ( Wild ) 5 , Liezel Huber/ Taylor Townsend ( Freedoms ) 4 * WS : Taylor Townsend ( Freedoms ) 5 , Anabel Medina Garrigues ( Wild ) 3 * MD : Alex Bogomolov , Jr./Aisam Qureshi ( Wild ) 5 , Frank Dancevic/Marcelo Melo ( Freedoms ) 3 * STB - MD : Alex Bogomolov , Jr./Aisam Qureshi ( Wild ) 7 , Frank Dancevic/Marcelo Melo ( Freedoms ) 1",1-3
5,July 12,"Cedar Park Center Cedar Park , Texas","Philadelphia Freedoms 25 , AUSTIN ACES 11 * MD : Frank Dancevic / Marcelo Melo ( Freedoms ) 5 , Treat Huey / Andy Roddick ( Aces ) 3 * MS : Frank Dancevic ( Freedoms ) 5 , Andy Roddick ( Aces ) 3 * XD : Liezel Huber /Marcelo Melo ( Freedoms ) 5 , Marion Bartoli /Treat Huey ( Aces ) 1 *** Treat Huey substituted for Andy Roddick at 1-0 * WD : Liezel Huber/ Taylor Townsend ( Freedoms ) 5 , Eva Hrdinová / Vera Zvonareva ( Aces ) 2 * WS : Taylor Townsend ( Freedoms ) 5 , Vera Zvonareva ( Aces ) 2",2-3
6,July 13,"Kastles Stadium at the Charles E. Smith Center Washington , District of Columbia","WASHINGTON KASTLES 23 , Philadelphia Freedoms 14 * MS : Bobby Reynolds ( Kastles ) 5 , Frank Dancevic ( Freedoms ) 1 * WD : Martina Hingis / Anastasia Rodionova ( Kastles ) 5 , Liezel Huber / Taylor Townsend ( Freedoms ) 3 * MD : Frank Dancevic/ Marcelo Melo ( Freedoms ) 5 , Leander Paes /Bobby Reynolds ( Kastles ) 3 * WS : Martina Hingis ( Kastles ) 5 , Taylor Townsend ( Freedoms ) 1 * XD : Martina Hingis/Leander Paes ( Kastles ) 5 , Liezel Huber/Marcelo Melo ( Freedoms ) 4",2-4
7,July 15,"The Pavilion Radnor Township , Pennsylvania","PHILADELPHIA FREEDOMS 19 , San Diego Aviators 18 * MD : Somdev Devvarman / Raven Klaasen ( Aviators ) 5 , Frank Dancevic / Marcelo Melo ( Freedoms ) 3 * WD : Daniela Hantuchová / Květa Peschke ( Aviators ) 5 , Victoria Azarenka / Liezel Huber ( Freedoms ) 1 * MS : Frank Dancevic ( Freedoms ) 5 , Somdev Devvarman ( Aviators ) 2 * WS : Victoria Azarenka ( Freedoms ) 5 , Daniela Hantuchová ( Aviators ) 3 * XD : Victoria Azarenka/Marcelo Melo ( Freedoms ) 5 , Květa Peschke/Raven Klaasen ( Aviators ) 3",3-4
8,July 16,"The Pavilion Radnor Township , Pennsylvania","PHILADELPHIA FREEDOMS 21 , Springfield Lasers 18 * MS : Michael Russell ( Lasers ) 5 , Frank Dancevic ( Freedoms ) 4 * WD : Liezel Huber / Taylor Townsend ( Freedoms ) 5 , Olga Govortsova / Raquel Kops-Jones ( Lasers ) 3 * MD : Frank Dancevic/ Marcelo Melo ( Freedoms ) 5 , Ross Hutchins /Michael Russell ( Lasers ) 2 * WS : Olga Govortsova ( Lasers ) 5 , Taylor Townsend ( Freedoms ) 2 * XD : Liezel Huber/Marcelo Melo ( Freedoms ) 5 , Raquel Kops-Jones/Ross Hutchins ( Lasers ) 3",4-4
9,July 17,"The Pavilion Radnor Township , Pennsylvania","PHILADELPHIA FREEDOMS 22 , Washington Kastles 15 ( overtime ) * XD : Liezel Huber / Marcelo Melo ( Freedoms ) 5 , Venus Williams / Leander Paes ( Kastles ) 3 * WS : Taylor Townsend ( Freedoms ) 5 , Anastasia Rodionova ( Kastles ) 0 *** Anastasia Rodionova substituted for Venus Williams at 0-3 * MS : Frank Dancevic ( Freedoms ) 5 , Bobby Reynolds ( Kastles ) 2 * WD : Anastasia Rodionova/Venus Williams ( Kastles ) 5 , Liezel Huber/Taylor Townsend ( Freedoms ) 3 * MD : Leander Paes/Bobby Reynolds ( Kastles ) 5 , Frank Dancevic/Marcelo Melo ( Freedoms ) 3 * OT - MD : Frank Dancevic/Marcelo Melo ( Freedoms ) 1 , Leander Paes/Bobby Reynolds ( Kastles ) 0",5-4
10,July 18,"The Pavilion Radnor Township , Pennsylvania","PHILADELPHIA FREEDOMS 25 , Boston Lobsters 14 * MS : Frank Dancevic ( Freedoms ) 5 , Rik de Voest ( Lobsters ) 4 * WD : Liezel Huber / Taylor Townsend ( Freedoms ) 5 , Sharon Fichman / Megan Moulton-Levy ( Lobsters ) 2 * XD : Liezel Huber/ Marcelo Melo ( Freedoms ) 5 , Megan Moulton-Levy/ Scott Lipsky ( Lobsters ) 2 * WS : Taylor Townsend ( Freedoms ) 5 , Sharon Fichman ( Lobsters ) 2 * MD : Frank Dancevic/Marcelo Melo ( Freedoms ) 5 , Rik de Voest/Scott Lipsky ( Lobsters ) 4",6-4
11,July 20,"Boston Lobsters Tennis Center at the Manchester Athletic Club Manchester-by-the-Sea , Massachusetts","Philadelphia Freedoms 23 , BOSTON LOBSTERS 21 * MS : Frank Dancevic ( Freedoms ) 5 , John Isner ( Lobsters ) 4 * WD : Liezel Huber / Taylor Townsend ( Freedoms ) 5 , Sharon Fichman / Megan Moulton-Levy ( Lobsters ) 4 * XD : Liezel Huber/ Marcelo Melo ( Freedoms ) 5 , Sharon Fichman/John Isner ( Lobsters ) 4 *** Sharon Fichman substituted for Megan Moulton-Levy at 2-3 * WS : Sharon Fichman ( Lobsters ) 5 , Taylor Townsend ( Freedoms ) 3 * MD : Frank Dancevic/Marcelo Melo ( Freedoms ) 5 , Rik de Voest /John Isner ( Lobsters ) 4",7-4
12,July 21,"The Pavilion Radnor Township , Pennsylvania","Austin Aces 21 , PHILADELPHIA FREEDOMS 18 * MS : Frank Dancevic ( Freedoms ) 5 , Andy Roddick ( Aces ) 4 * WS : Varvara Lepchenko ( Aces ) 5 , Taylor Townsend ( Freedoms ) 2 * XD : Eva Hrdinová / Treat Huey ( Aces ) 5 , Liezel Huber / Marcelo Melo ( Freedoms ) 3 * WD : Liezel Huber/Taylor Townsend ( Freedoms ) 5 , Eva Hrdinová/Varvara Lepchenko ( Aces ) 2 * MD : Treat Huey/Andy Roddick ( Aces ) 5 , Frank Dancevic/Marcelo Melo ( Freedoms ) 3",7-5
13,July 22,"The Pavilion Radnor Township , Pennsylvania","PHILADELPHIA FREEDOMS 25 , Boston Lobsters 6 * MS : Frank Dancevic ( Freedoms ) 5 , Rik de Voest ( Lobsters ) 3 * WS : Taylor Townsend ( Freedoms ) 5 , Julia Cohen ( Lobsters ) 0 * MD : Frank Dancevic/ Marcelo Melo ( Freedoms ) 5 , Rik de Voest/ James Cerretani ( Lobsters ) 2 * WD : Liezel Huber /Taylor Townsend ( Freedoms ) 5 , Julia Cohen/ Megan Moulton-Levy ( Lobsters ) 0 * XD : Liezel Huber/Marcelo Melo ( Freedoms ) 5 , Megan Moulton-Levy/James Cerretani ( Lobsters ) 1",8-5
14,July 23,"The Pavilion Radnor Township , Pennsylvania","PHILADELPHIA FREEDOMS 21 , Washington Kastles 20 ( super tiebreaker , 7-4 ) * MS : Bobby Reynolds ( Kastles ) 5 , Frank Dancevic ( Freedoms ) 3 * WS : Martina Hingis ( Kastles ) 5 , Taylor Townsend ( Freedoms ) 2 * MD : Frank Dancevic/ Marcelo Melo ( Freedoms ) 5 , Leander Paes /Bobby Reynolds ( Kastles ) 3 * WD : Martina Hingis/ Anastasia Rodionova ( Kastles ) 5 , Liezel Huber /Taylor Townsend ( Freedoms ) 3 * XD : Liezel Huber/Marcelo Melo ( Freedoms ) 5 , Martina Hingis/Leander Paes ( Kastles ) 2 * OT - XD : Liezel Huber/Marcelo Melo ( Freedoms ) 2 , Martina Hingis/Leander Paes ( Kastles ) 0 * STB - XD : Liezel Huber/Marcelo Melo ( Freedoms ) 7 , Martina Hingis/Leander Paes ( Kastles ) 4",9-5
