Medal,Name,Event,Championship
Gold,Tatjana Jelača,Javelin throw,2009 Novi Sad
Gold,Amela Terzić,1500m,2011 Tallinn
Gold,Amela Terzić,3000m,2011 Tallinn
Silver,Olivera Jevtić,"10,000m",1995 Nyiregyhaza
Silver,Sonja Stolić,3000m,1997 Ljubljana
Silver,Marija Martinović,Triple jump,1997 Ljubljana
Silver,Dušan Markešević,5000m,2005 Kaunas
Silver,Ivana Španović,Long jump,2009 Novi Sad
Silver,Mila Andrić,400m Hurdles,2009 Novi Sad
Bronze,Olivera Jevtić,3000m,1995 Nyiregyhaza
Bronze,Sonja Stolić,3000m,1999 Riga
Bronze,Azra Eminović,1500m,2005 Kaunas
