Year,Title,Artist,Certification,Shipments ( Sales )
1997,Candle in the Wind 1997,Elton John,9× Platinum,4.5 million
1957,The River Kwai March,Mitch Miller,-,( 4 million )
1997,Time To Say Goodbye,Andrea Bocelli feat . Sarah Brightman,11× Gold,2.75 million
1958,Der lachende Vagabund,Fred Bertelmann,-,( 2 million )
1963,"Junge , komm bald wieder",Freddy Quinn,-,( 2 million )
1965,Il Silenzio,Nini Rosso,-,( 2 million )
1971,Butterfly,Danyel Gerard,-,( 2 million )
1967,Massachusetts,Bee Gees,-,( 2 million )
1998,My Heart Will Go On,Celine Dion,4× Platinum,2 million
1964,Vergangen vergessen vorüber,Freddy Quinn,-,( 1.8 million )
2017,Shape of You,Ed Sheeran,9× Gold,1.8 million
2017,Despacito,Luis Fonsi & Daddy Yankee,7× Gold+Gold,1.6 million
1972,Ich hab die Liebe gesehn,Vicky Leandros,-,1.5 million
1992,Conquest of Paradise,Vangelis,3× Platinum,1.5 million
1998,Flugzeuge im Bauch,Oli . P,3× Platinum,1.5 million
1999,Mambo No . 5,Lou Bega,3× Platinum,1.5 million
1997,I 'll Be Missing You,Puff Daddy feat . Faith Evans and 112,5× Gold,1.25 million
1998,Believe,Cher,5× Gold,1.25 million
1999,Blue ( Da Ba Dee ),Eiffel 65,5× Gold,1.25 million
2007,Ein Stern ( ... der deinen Namen trägt ),DJ Ötzi feat . Nik P,4× Platinum,1.2 million
