Rank,Country,Team,Time
1,Romania,Lidia Simon Mihaela Botezan Cristina Pomacu,3:34:22
2,Japan,Mizuki Noguchi Yukiko Okamoto Yasuko Hashimoto,3:36:25
3,Russia,Lidiya Grigoryeva Galina Aleksandrova Zinaida Semyonova,3:45:41
4,Ethiopia,Aster Demissie Abebe Tola Meseret Kotu,3:48:20
5,United States,Milena Glusac Kristin Beaney Shelly Steely,3:49:03
6,Great Britain,Paula Radcliffe Sarah Wilkinson Andrea Green,3:49:55
7,South Africa,Carlien Cornelissen Theresa du Toit Sibongile Ngcongwane,3:55:26
8,Mexico,Margaríta Tapía Dulce María Rodríguez Liliana Merlo,3:56:55
9,Guatemala,Elsa Monterroso Angelina Cornelio Herlinda Xol,4:33:36
10,Croatia,Kristinka Marković Tijana Pavičić Slavica Brčić,4:41:29
