Name of Town,State,Type,Population ( 2011 )
Kadi,Gujarat,M,"73,228"
Kadiri,Andhra Pradesh,M,"89,429"
Kagaznagar,Telangana,M,"57,583"
Kailasahar,Tripura,N.P,"20,279"
Kaladhungi,Uttarakhand,N.P,"7,611"
Kallakurichi,Tamil Nadu,M,"1,57,628"
Kalimpong,West Bengal,M,"42,998"
Kalpi,Uttar Pradesh,NPP,"51,670"
Kamareddy,Telangana,M,"80,315"
Kanigiri,Andhra Pradesh,M,"37,420"
Kandukur,Andhra Pradesh,M,"57,246"
Kanhangad,Kerala,M,"73,342"
Kannur,Kerala,M,"56,823"
Kapadvanj,Gujarat,M,"49,308"
Karaikal,Puducherry,M,"86,838"
Karimganj,Assam,M.B,"56,854"
Karjat,Maharashtra,M.Cl,"29,663"
Karnaprayag,Uttarakhand,N.P,"8,297"
Karunagappally,Kerala,M,"72,634"
Karur,Tamil Nadu,M,"70,980"
