Airing date,English title ( Chinese title ),Number of episodes,Main cast,Theme song ( T ) Sub-theme song ( ST ),Genre
16 January- 13 February,The Trail of Love 前世冤家,20,"Margie Tsang , Elizabeth Lee , Bobby Au Yeung , Leo Ku",T : 夢中人 ( Faye Wong ),Modern drama
13 February- 10 March,Hand of Hope 邊緣故事,20,"Gallen Lo , Amy Chan , Marco Ngai , Angie Cheung",T : 真面目 ( Hacken Lee ),Modern drama
13 March- 7 April,Detective Investigation Files 刑事偵緝檔案,20,"Michael Tao , Kenix Kwok , Joey Leung , Louisa So",T : 感情真相 ( Leo Ku ) ST : 對你始終痴心一往 ( Leo Ku ),Modern suspense
10 April- 5 May,Fist of Power 南拳北腿,20,"Louis Fan , Moon Lee , Vivien Leung",T : 天地豪情 ( Mo Kai Yin ),Costume action
8 May- 2 June,Sharpshooters 廉政英雌,20,"Sheren Tang , Esther Kwan , Alex Fong , Kiki Sheung",T : 出色女子 ( Cass Phang ),Modern action
5 June- 30 June,To Love With Love 水餃皇后,20,"Nadia Chan , Wayne Lai",T : 愛到一千年 ( Nadia Chan ),Modern drama
3 July- 30 July,The Criminal Investigator O記實錄,22,"Felix Wong , Kenix Kwok , Sunny Chan",T : 烈火狂奔 ( Jacky Cheung ),Modern drama
31 July- 9 September,The Condor Heroes 95 神鵰俠侶,32,"Louis Koo , Carmen Lee , Gigi Fu",T : 神話情話 ( Emil Chau & Chyi ),Costume action
11 September- 13 October,File of Justice IV 壹號皇庭IV,25,"Bobby Au Yeung , Michael Tao , Amy Chan , Bowie Lam , Jessica Hsuan , Sheren Tang , Astrid Chan , Patrick Tam , William So",ST : 假使有日能忘記 ( William So ),Modern drama
16 October- 10 November,The Unexpected 一切從失蹤開始,20,"Damian Lau , Amy Chan , Bowie Lam , Maggie Cheung , Esther Kwan , Cheung Kwok Keung , Joey Leung",T : 從未改變 ( Mo Kai Yin ) ST : 一切從失蹤開始 ( 彭羚、張信哲合唱 ),Modern drama
13 November- 18 December,A Stage of Turbulence 刀馬旦,20,"Vivian Chow , Sunny Chan , Patrick Tam , Fiona Leung",T : 紅顏知己 ( Vivian Chow ),Costume drama
11 December 1995- 2 February 1996,Detective Investigation Files II 刑事偵緝檔案II,40,"Michael Tao , Kenix Kwok , Joey Leung , Louisa So , Amy Kwok , Sammi Cheng",T : 為明日爭氣 ( Edmond Leung ) ST : 愛與情 ( Edmond Leung ) ST : 愛的輓歌 ( Sammi Cheng ),Modern suspense
