Event,Time,Name,Club,Date,Location
50y freestyle,18.77,Nathan Adrian,California Golden Bears,"November 30 , 2017","Columbus , United States"
100y freestyle,41.22,Nathan Adrian,California Golden Bears,"December 2 , 2017","Columbus , United States"
200y freestyle,1:31.31,Ricky Berens,Texas Longhorns,"March 7 , 2013","Austin , United States"
500y freestyle,4:07.25,Zane Grothe,Indiana University,"November 30 , 2017","Columbus , United States"
1650y freestyle,14:18.25,Zane Grothe,Indiana University,"December 2 , 2017","Columbus , United States"
100y backstroke,44.07,Nick Thoman,SwimMAC Carolina,"December 6 , 2013","Knoxville , United States"
200y backstroke,1:36.81,Ryan Lochte,Daytona Beach,"December 1 , 2007","Atlanta , Georgia , United States"
100y breaststroke,50.80,Nicolas Fink,Georgia Bulldogs,"December 1 , 2017","Columbus , United States"
200y breaststroke,1:49.31,Cody Miller,Sandpipers of Nevada,"December 2 , 2017","Columbus , United States"
100y butterfly,43.84,Tom Shields,California Golden Bears,"December 2 , 2016","Atlanta , United States"
200y butterfly,1:40.24,Tom Shields,California Golden Bears,"December 1 , 2012","Austin , United States"
200y individual medley,1:40.08,Ryan Lochte,Daytona Beach,"November 29 , 2007","Atlanta , Georgia , United States"
400y individual medley,3:37.88,Ryan Lochte,Daytona Beach,"November 30 , 2007","Atlanta , Georgia , United States"
4×50y freestyle relay,1:17.06,( 19.94 ) Tim Phillips ( 19.32 ) Dax Hill ( 19.25 ) Eric Knight ( 18.55 ) Cullen Jones,SwimMAC Carolina,"December 5 , 2013","Knoxville , United States"
4×100y freestyle relay,2:51.16,( 42.98 ) Tyler Messerschmidt ( 42.40 ) Ryan Murphy ( 43.35 ) Fabio Gimondi ( 42.43 ) Seth Stubblefield,University of California,"December 7 , 2013","Knoxville , United States"
4×200y freestyle relay,6:12.43,( 1:32.43 ) Michael Phelps ( 1:33.54 ) Peter Vanderkaay ( 1:33.83 ) Davis Tarwater ( 1:32.63 ) Chris Dejong,Club Wolverine,"November 30 , 2007","Atlanta , Georgia , United States"
4×50y medley relay,1:23.02,( 20.69 ) Nick Thoman ( 23.83 ) Eric Knight ( 20.02 ) Tim Phillips ( 18.48 ) Cullen Jones,SwimMAC Carolina,"December 6 , 2013","Knoxville , United States"
4×100y medley relay,3:05.69,( 46.45 ) Mitchell Friedemann ( 51.15 ) Kevin Cordes ( 45.33 ) Giles Smith ( 42.76 ) Nimrod Shapira Bar-Or,Arizona Wildcats,"November 29 , 2012","Austin , United States"
