Year,Title,Role,Notes
2004,Cold Case,Arletta Marion in 1939,Episode : The Letter
2004,Strong Medicine,Sarina,Episode : Healing Touch
2004,The Wool Cap,Lou,Television film
2005,Knights of the South Bronx,Kenya Russell,Television film
2005,Second Time Around,Sharlene,"Episode : Big Bank , Little Bank"
2005,ER,Janell Parkerson,Episode : The Show Must Go On
2005,Law & Order : Special Victims Unit,Tasha Wright,Episode : Storm
2007,Tyler Perry 's House of Payne,Nikki,Episode : Bully and the Beast
2007,Just Jordan,C.C . Livingston,Episode : Fame Game
2007,Jump In !,Mary Thomas,Television film
2008-2011,"True Jackson , VP",True Jackson,Lead role
2010,The Cleveland Show,Candice,"Voice ; Episode : Harder , Better , Faster , Browner"
2011,Degrassi : The Next Generation,Herself,Episode : Boom Boom Pow : Parts 1 & 2
2011-2014,Winx Club,Aisha,Voice ; Main role ( Season 3 - 6 )
2012,Rags,Kadee Worth,Television film
2012,Abducted : The Carlina White Story,Carlina White,Television film
2013,Key & Peele,Malia Obama 's anger translator,Episode : Obama Shutdown
2013,Full Circle,Chan'dra Stevens,Episode : Jace & Chan'dra Episode : Chan'dra & Cliff
2013,90210,Elizabeth Royce Harwood,Recurring role ( Season 5 )
2013,CrazySexyCool : The TLC Story,Rozonda Chilli Thomas,Television film
